,Unnamed: 0,license,location,pmcid,pmid,doi,pubdate,source,number,text,software,version,ID,curation_label,software_upper,mention_counts
52,57800,comm,comm/BMC_Bioinformatics/PMC5907701.nxml,5907701,29673311.0,10.1186/s12859-018-2150-1,2018,Background,1,"The inverse covariance matrix and pseudo-likelihood maximization were introduced subsequently to eliminate transitivity in methods such as DCA [14], PSICOV [15], plmDCA [16], GREMLIN [17], CCMpred [18], FreeContact [19] and PconsC2 [20]",PSICOV,,SM11751,software,PSICOV,941
53,178098,,,,,10.1007/s00122-013-2230-6,2013,Epistatic QTLs (E-QTLs),0," For instance in the case of ICCRIL03, by considering two loci interactions, a total of 26 E-QTLs were identified that include 15 E-QTLs detected by QTLNetwork (ESM Table S10) and 11 detected by GMM program (ESM Table S11)",QTLNetwork,,SM154569,software,QTLNETWORK,637
54,222838,,,,,10.1108/TR-02-2019-0039,2020,Methodology,1,Qualtrics survey management system was used to develop the survey,Qualtrics,,SM3534,software,QUALTRICS,36617
55,82999,,,,,10.1080/15398285.2019.1681247,2019,Data analysis,1, Pairwise comparisons between groups of students of different years were conducted using the pairwiseNominalIndependence function with Bonferroni and Benjamini-Hochberg corrections for multiple comparisons in the rcompanion package,rcompanion,,SM44983,software,RCOMPANION,228
56,295957,,,,,10.3892/ol.2019.10435,2019,Transcription and post-transcriptional modulation prediction,1,Interaction probabilities generated using RPISeq range between 0 and 1,RPISeq,,SM31562,software,RPISEQ,408
57,108774,non_comm,non_comm/Hum_Genet/PMC2762527.nxml,2762527,19495796.0,10.1007/s00439-009-0693-y,2009,Data analysis,11,A spatial analysis of the molecular variance (SAMOVA) was also performed using the SAMOVA 1.0 program (Dupanloup et al,SAMOVA,,SM47488,software,SAMOVA,3059
58,232964,,,,,10.1177/1534735416670987,2017,Real-Time PCR,0," Reactions were carried out on an ABI Prism® 7900HT Sequence Detection System (PE Applied Biosystems, Foster City, CA), and relative transcript levels were determined using GAPDH as the endogenous control (SYBR Green method)",Sequence Detection System,,SM4378,software,SEQUENCE DETECTION SYSTEM,738
59,56736,comm,comm/Virol_J/PMC2311284.nxml,2311284,18325125.0,10.1186/1743-422X-5-40,2008,,42,synonymous substitutions calculated by SLAC likelihood analysis.,SLAC,,SM25029,software,SLAC,729
60,20508,comm,comm/PLoS_One/PMC7144971.nxml,7144971,32271776.0,10.1371/journal.pone.0230899,2020,Variant annotation,29,We used SNPEff v4.3 [58] to annotate the SNPs and short INDELs using the latest available gene annotation database (EquCab3.0),SNPEff,,SM61193,software,SNPEFF,6573
61,79788,non_comm,non_comm/J_Equine_Sci/PMC6606448.nxml,6606448,31285691.0,10.1294/jes.30.33,2019,Estimating genetic structure and genetic status of the Taishu population,10,"To clarify whether NTTs and TTs are grouped in the same cluster, we constructed a phylogenetic tree from the genome-wide ddRAD-Seq dataset using the maximum likelihood (ML) method in the SNPhylo software, version 20160204 [9]",SNPhylo,,SM47598,software,SNPHYLO,406
62,59421,,,,,10.1038/s41598-018-21646-w,2018,Results,416, SOM allows us to identify a subset of genes with similar expression profiles,SOM,,SM34986,software,SOM,28743
63,110728,,,,,10.1101/418780,2020,Results,16,"8%, SomaticSniper-Battenberg: 3",SomaticSniper,,SM31122,software,SOMATICSNIPER,920
64,139080,comm,comm/Int_J_Mol_Sci/PMC6801457.nxml,6801457,31569708.0,10.3390/ijms20194808,2019,"4.8. Target Gene Prediction, GO Analysis, and KEGG Analysis of the Target Genes",31,"We identified the targets of miRNAs using TargetFinder, based on the known miRNAs, the newly predicted miRNAs, and the gene sequence information in Brassica rapa",TargetFinder,,SM104237,software,TARGETFINDER,1036
65,97437,comm,comm/Biol_Direct/PMC5031328.nxml,5031328,27655048.0,10.1186/s13062-016-0151-4,2016,fig_caption,2,b Number of models is plotted against the RMSD of PDZ Structural models to the peptide bound templates calculated with TM-align,TM-align,,SM7101,software,TM-ALIGN,1383
66,143368,comm,comm/PLoS_One/PMC4393230.nxml,4393230,25859849.0,10.1371/journal.pone.0122765,2015,fig_caption,0,no probiotics’ (TreeAge software display),TreeAge,,SM18392,software,TREEAGE,2200
67,219765,,,,,10.1128/mSphere.00226-17,2017,DISCUSSION,6,"In summary, the structures of the TriTryp LAP-As were solved in the apo form and several ligand complexes, which gives insight into ligand binding and confirms the homology to other family members",TriTryp,,SM129276,software,TRITRYP,290
68,115573,,,,,10.1093/brain/awu162,2014,Results,11,VBM volume within a grey matter region compatible with the bulbar segment of the left primary motor cortex was positively correlated with bulbar disability subscore (,VBM,,SM5182,software,VBM,5286
69,26501,,,,,10.1212/NXI.0000000000000703,2020,Discussion,8," A limitation of the VirScan method is that we are unable to distinguish between antibodies that have been synthesized intrathecally vs peripheral synthesis, followed by transudation across the blood-brain barrier",VirScan,,SM313591,software,VIRSCAN,622
70,45863,comm,comm/J_Cell_Mol_Med/PMC4627571.nxml,4627571,26290361.0,10.1111/jcmm.12658,2015,Bioinformatics analysis,14,"Further, PANTHER v9.0 and DAVID v6.7 (Database for Annotation, Visualization and Integrated Discovery) were employed for functi-onal annotation analysis to understand the biological significance (e.g",Visualization,v6.7,SM17274,software,VISUALIZATION,291
71,170479,,,,,10.1108/IJRDM-07-2018-0127,2018,Twitter and sentiment analysis,5,"In particular, Classify is a function already available in Wolfram Mathematica allowing classification of the data included in the data set in different categories",Wolfram Mathematica,,SM14204,software,WOLFRAM MATHEMATICA,1127
﻿0,112120,comm,comm/Biotechnol_Biofuels/PMC4476231.nxml,4476231,26101545.0,10.1186/s13068-015-0265-4,2015,Lipid quantification and analysis,63,Six-point calibration curves were constructed using the LINEST function which is built into the ASP.NET framework library,ASP.NET,,SM77923,software,ASP.NET,232
1,84568,non_comm,non_comm/Acta_Crystallogr_D_Biol_Crystallogr/PMC2483474.nxml,2483474,17452785.0,10.1107/S0907444907009791,2007,"Iterative model rebuilding, density modification and refinement",9,"Noncrystallographic symmetry was not used in density modification or refinement in these tests, even when present in the crystal, as this has not yet been automated in the AutoBuild wizard, although its use is planned for future versions",AutoBuild,,SM9625,software,AUTOBUILD,362
2,82266,,,,,10.3389/fnhum.2020.00107,2020,Descriptive Statistics,4," Nonetheless, to obtain an indication of the level of evidence, a t-test Bayes factor (BF) was calculated for each comparison (using the “BayesFactor” package in R)",BayesFactor,,SM44644,software,BAYESFACTOR,665
3,26447,,,,,10.2983/035.037.0404,2018,RESULTS AND DISCUSSION,12,Mass balance for nutrient and chlorophyll uptake by wild species in BEL for Model Year 9 from a 10-y run,BEL,,SM66490,software,BEL,1775
4,41441,comm,comm/Genome_Biol/PMC7798312.nxml,7798312,33430919.0,10.1186/s13059-020-02237-3,2021,Benchmarking,21,"However, after loading the graph, BlastFrost is more than tenfold faster than MegaBlast at searching the constructed graph for the presence of 6500 AMR genes (Fig. 3b) because of the extensive indexing information within the Bifrost graph",Bifrost,,SM36892,software,BIFROST,264
5,179484,non_comm,non_comm/Nat_Chem_Biol/PMC6917865.nxml,6917865,31768033.0,10.1038/s41589-019-0400-9,2019,Validation using large-scale metabolomics data,12,3d) was chosen as default for BiG-SCAPE (Supplementary Tables 2 and 3),BiG-SCAPE,,SM55707,software,BIG-SCAPE,281
6,7,,,,,10.1186/1471-2156-12-29,2011,Conclusions,0," Our results indicate that hidden Markov based programs PennCNV and Birdseye (part of Birdsuite), or Birdsuite are superior to others when the high CNV detection stability (reproducibility) rates of the same individuals and the low Mendelian inconsistencies are considered",Birdsuite,,SM78231,software,BIRDSUITE,477
7,19042,,,,,10.2196/jmir.9211,2018,Introduction,4,"Despite substantial challenges involved in determining the outcomes of an open-access, real-world service, we examined the impact of the BRAVE Self-Help intervention through a feasibility and acceptability approach",BRAVE,,SM23708,software,BRAVE,872
8,139461,non_comm,non_comm/Epigenetics/PMC4939914.nxml,4939914,27245094.0,10.1080/15592294.2016.1184805,2016,Identification of SNPs in the B. t. indicus × B. t. taurus F1 conceptuses transcriptomes using RNAseq,66,"For read mapping, BWA mem version 0.7.7 was used to align the reads to the diploid genome using default parameters",BWA mem,,SM15171,software,BWA MEM,2272
9,113755,,,,,10.1111/bjd.17869,2019,Atopic dermatitis clinical trials,10," In CAFÉ, incidence rates were numerically lower for dupilumab 300 mg qw + TCS than for 300 mg q2w + TCS (Table ",CAFÉ,,SM32450,software,CAFÉ,636
10,133848,comm,comm/PLoS_One/PMC4956038.nxml,4956038,27442123.0,10.1371/journal.pone.0158565,2016,Transcriptome de novo assembly,8,CD-HIT-EST version 4.6.1 (2012-08-27) was subsequently used for clustering of assembled transcripts with the default parameters at two different sequence identity thresholds (100% and 98%).,CD-HIT-EST,,SM5155,software,CD-HIT-EST,838
11,128793,,,,,10.1177/0142331216654533,2018,Complementary ensemble empirical mode decomposition,8,Residues of added white noises derived by (a) ensemble empirical mode decomposition (EEMD) and (b) complementary ensemble empirical mode decomposition (CEEMD),CEEMD,,SM281013,software,CEEMD,1237
12,125132,comm,comm/BMC_Vet_Res/PMC4251860.nxml,4251860,25427406.0,10.1186/s12917-014-0282-8,2014,"Quantitative-PCR, 454 sequencing and data analysis",25,Putative chimeric sequences were identified with usearch [65] and ChimeraSlayer in mothur [66],ChimeraSlayer,,SM7365,software,CHIMERASLAYER,765
13,50818,,,,,10.1186/s40813-016-0044-z,2016,Diagnostic methods and laboratory findings,9, The tree was constructed with the software CLC Sequence Viewer 7,CLC Sequence Viewer,,SM1250,software,CLC SEQUENCE VIEWER,908
14,93264,comm,comm/Biol_Direct/PMC3534567.nxml,3534567,23111013.0,10.1186/1745-6150-7-37,2012,COMBREX,27,"COMBREX is the first functional database that attempts to provide fully traceable annotation, where predictions are traced (whenever possible) to the experimentally determined evidence",COMBREX,,SM267378,software,COMBREX,401
15,91466,,,,,10.1177/2472630320958376,2020,Results,12," ConvNet#1, which was the lightest structure and produced the optimal results in two-class experiments, could not produce the highest results in three-class experiments",ConvNet,,SM71706,software,CONVNET,2078
16,174291,,,,,10.1080/13658816.2015.1008492,2015,The ,33," In order to facilitate searching of available services, meta-information is recorded in a database; either a relational database such as PostgreSQL or a document-oriented database such as MongoDB or CouchDB can be used",CouchDB,,SM100855,software,COUCHDB,444
17,58605,comm,comm/Acta_Crystallogr_E_Crystallogr_Commun/PMC7057389.nxml,7057389,32148878.0,10.1107/S2056989020001723,2020,Hirshfeld surface analysis,4,"In order to visualize the inter­molecular inter­actions in the crystal of I, a Hirshfeld surface (HS) analysis (Hirshfeld, 1977 ▸; Spackman & Jayatilaka, 2009 ▸) was carried out using Crystal Explorer 17.5 (Turner et al., 2017 ▸)",Crystal Explorer,17.5,SM12431,software,CRYSTAL EXPLORER,554
18,275195,,,,,10.1089/lap.2019.0560,2020,Cumulative sum analysis,0, The process was continued to the CUSUM for the last case as in previous study,CUSUM,,SM48825,software,CUSUM,8467
19,35430,,,,,10.1093/nar/gkz1128,2020,MATERIALS AND METHODS,2," Apart from data-binding and selection, these visualizations exploit the functionality of D3 for transition and sorting through its API",D3,,SM12213,software,D3,1732
20,33362,non_comm,non_comm/Comput_Struct_Biotechnol_J/PMC7037582.nxml,7037582,32123556.0,10.1016/j.csbj.2020.01.013,2020,Case studies,50,"Analogously, DeepCRISPR used the encoder part of the DCDNN-based model as the pre-trained model",DeepCRISPR,,SM90398,software,DEEPCRISPR,286
21,102448,comm,comm/Sci_Rep/PMC5630628.nxml,5630628,28986581.0,10.1038/s41598-017-12608-9,2017,Bioinformatics analysis,49,"Control and doxorubicin treated H3K4me3 samples were analyzed by DiffBind v1.0.9 (with parameters ‘minOverlap = 2’ and ‘full library size’), using duplicates",DiffBind,,SM16748,software,DIFFBIND,1379
22,210545,,,,,10.1080/00949655.2019.1687701,2020,Application,6," The reason DLDA works well, we believe, is that the contribution of every single variable of top 50 is relatively much more significant than the contribution of their interactions",DLDA,,SM78674,software,DLDA,551
23,148590,comm,comm/J_Biol_Chem/PMC4882435.nxml,4882435,27013657.0,10.1074/jbc.M115.688218,2016,AM1 and AM2 Receptor Models,22,"Druggability was assessed using the PockDrug (52, 53) and DoGSiteScorer Web servers (54); pocket hull volumes (which include atoms within the druggable binding pockets) were also determined using PockDrug; distances were measured using the PyMOL Molecular Graphics System (version 1.7.4; Schrödinger, LLC, New York), which was also used for image generation",DoGSiteScorer,,SM80302,software,DOGSITESCORER,427
24,66976,comm,comm/Sci_Rep/PMC8035216.nxml,8035216,33837236.0,10.1038/s41598-021-87415-4,2021,ElasticNet linear regression,40,ElasticNet LR is a regularization linear regression technique that is usually used to reduce overfitting in linear model,ElasticNet,,SM28801,software,ELASTICNET,1242
25,294608,,,,,10.1093/nar/gkl952,2007,The ‘Related Structure’ service,1,"Non-identical protein sequences in Entrez have been classified into groups linked to related structures, at various levels of sequence similarity",Entrez,,SM680,software,ENTREZ,2242
26,83655,comm,comm/PLoS_One/PMC3376117.nxml,3376117,22719873.0,10.1371/journal.pone.0038263,2012,Open Field,9,"Using Ethovision, the frequency of entries into, and the time spent in, the central zone of the arena (18×18 cm) were extracted",Ethovision,,SM15221,software,ETHOVISION,7440
27,163072,non_comm,non_comm/Genome_Biol_Evol/PMC7851596.nxml,7851596,33247719.0,10.1093/gbe/evaa252,2021,Population Comparisons,18,Results from both JGIL and FreeBayes showed strong overlap in observed SNPs (see Results),FreeBayes,,SM780,software,FREEBAYES,4948
28,126694,comm,comm/Metab_Brain_Dis/PMC6060745.nxml,6060745,29654499.0,10.1007/s11011-018-0223-5,2018,Subcortical volume analysis,9,"In short, FSL-FIRST models the outer surface of the bilateral hippocampus, thalamus, amygdala, nucleus accumbens, caudate nucleus, globus pallidus and putamen by creating a vertex-based mesh for each image",FSL-FIRST,,SM220994,software,FSL-FIRST,248
29,77457,comm,comm/BMC_Bioinformatics/PMC1933441.nxml,1933441,17584497.0,10.1186/1471-2105-8-212,2007,,29,(GapFill)-cytosol,GapFill,,SM20993,software,GAPFILL,285
