Column1,software,count,rand_urls,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments
114,MESH,1,https://api.elsevier.com/content/article/pii/S0163445317304139;https://www.ncbi.nlm.nih.gov/pubmed/29305150/;https://www.sciencedirect.com/science/article/pii/S0163445317304139;https://doi.org/10.1016/j.jinf.2017.12.014,NAM,NA,Y,N,N,Y,,,,OK,Data for this review were identified by searches of Medline and EMbase using the keyword and/or MESH search terms [?sequenc* OR Metagenom OR Illumina OR RNA-seq OR RNASeq OR (Roche 454) OR (Ion torrent) OR (Proton / PGM) OR MiSeq OR HiSeq OR NextSeq OR minion OR nanopore OR pacbio] AND [Encephalitis OR Meningoencephalitis OR Brain or (Central Nervous System) OR CNS or Neur* or (Cerebrospinal) or CSF].
115,AKITA,2,https://www.ncbi.nlm.nih.gov/pubmed/32397615/;https://doi.org/10.3390/jpm10020037,PUB,NA,N,N,N,Y,,,,OK,"Equipment, called AKITA2 with 2 possibly in uppercase"
116,Sehha App,1,https://doi.org/10.7759/cureus.12004;https://www.ncbi.nlm.nih.gov/pubmed/33457115/,INS,SN,Y,N,N,Y,,,,OK,"Sehha App, which is a dedicated app developed by the Ministry of Health in Saudi Arabia"
117,CCV,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4313891/,URL,SN,Y,N,N,N,,,x,OK,"Collection of papers. The one we need is on pages 395-415. The website http://sys-
bio.cvm.msstate.edu/IPMiner does not work, hence SN is the code"
118,MyOSA,2,https://doi.org/10.1016/j.arbres.2020.06.019;https://www.ncbi.nlm.nih.gov/pubmed/32773300/,INS,SN,Y,N,N,Y,,,,OK,"Los datos de telemonitorizaci—n de la CPAP se recibieron y almacenaron de forma automatizada en la plataforma web MyOSA (Oxigen Salud, Barcelona, Espa–a),"
119,ICPis,1,https://doi.org/10.1136/jitc-2020-001754;https://www.ncbi.nlm.nih.gov/pubmed/33310772/,NAM,NA,Y,N,N,Y,,,,OK,immune checkpoint inhibitors (ICPis)
120,KAWA,3,https://www.sciencedirect.com/science/article/pii/S1695403318303084;https://api.elsevier.com/content/article/pii/S1695403318303084,NAM,NA,N,N,N,Y,,,,OK,"KAWA-RACE, Kawasaki Diseases Network (project)"
121,Probiosafe,1,https://www.sciencedirect.com/science/article/pii/S0168160510001698;https://www.ncbi.nlm.nih.gov/pubmed/20444515/;https://doi.org/10.1016/j.ijfoodmicro.2010.03.026;https://api.elsevier.com/content/article/pii/S0168160510001698,NAM,NA,N,N,N,Y,,,,OK,"""carried out in our laboratory under the umbrella of SAFEFOODERA Ñ Probiosafe project"""
122,Viral genome Evolution Network Analysis System (VENAS),1,https://doi.org/10.1101/2020.12.09.417121,URL,SC,Y,Y,Y,Y,python,https://github.com/qianjiaqiang/VENAS,,OK,No versioning and licensing. Includes C++ code
123,Moodfit,1,https://www.ncbi.nlm.nih.gov/pubmed/33301395/;https://doi.org/10.1016/j.jopan.2020.10.005;https://www.sciencedirect.com/science/article/pii/S108994722030321X;https://api.elsevier.com/content/article/pii/S108994722030321X,URL,SN,Y,N,N,Y,,,,OK,"Another resource on the website is Moodfit, which includes mood tracking and analysis, a gratitude journal, mindfulness meditation, breathing exercises, and other supportive information."
124,COMVC19,1,https://doi.org/10.6061/clinics/2020/e1963;https://www.ncbi.nlm.nih.gov/pubmed/32520224/,NAM,NA,Y,N,N,Y,,,,OK,ÒCOMVC19: The Mental Health and Psychosocial Well-Being Personal Protective Equipment to the Health Professionals involved in the Combat against the COVID-19 Pandemic.Ó
125,Yasara,1,https://doi.org/10.1101/2020.07.01.182964;https://www.ncbi.nlm.nih.gov/pubmed/32637961/,URL,SN,Y,Y,N,Y,,,,OK,does not work: https://www.yasara.org/
126,GtrendsR,1,https://arxiv.org/pdf/2005.06796v1.pdf,PRO,SN,Y,Y,N,Y,r,,,OK,
127,R package APE,1,https://doi.org/10.1099/vir.0.000209;https://www.ncbi.nlm.nih.gov/pubmed/26041874/,PRO,SN,Y,N,N,Y,r,,,OK,
128,AiCure,1,https://www.sciencedirect.com/science/article/pii/S1359644620304256?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/33099022/;https://api.elsevier.com/content/article/pii/S1359644620304256;https://doi.org/10.1016/j.drudis.2020.10.010,NOT,SN,N,N,N,Y,,,,OK,"Name of the manufacturer (""Mobile software was developed by AiCure that monitored regular medication intake by patients with schizophrenia in a Phase II trial"")"
129,RemyCC,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302268/,PUB,SN,Y,N,N,Y,c++,https://github.com/tcpexmachina/remy,,OK,
130,MolDx,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7267794/,NAM,NA,Y,N,N,Y,,,,OK,
131,ClonFor,1,https://www.ncbi.nlm.nih.gov/pubmed/25681753/;https://doi.org/10.1016/j.mcp.2015.02.001;https://api.elsevier.com/content/article/pii/S089085081500016X;https://www.sciencedirect.com/science/article/pii/S089085081500016X,NAM,NA,N,N,N,Y,,,,OK,Parecho_5_NTR_ClonFor
132,pLingeling,19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197060/,PRO,SN,Y,N,N,Y,,,,OK,Does not work: https://fmv.jku.at/lingeling
133,CAQE,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7363222/,PRO,SN,Y,N,N,Y,,,,OK,
134,Motel One,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7736673/,NAM,NA,Y,N,N,Y,,,,OK,"""Motel One"" hotel group"
135,Sketch Engine COVID -Sinequa COVID - 19 Intelligent Search Search Search,1,https://arxiv.org/pdf/2007.12731v1.pdf,NAM,SN,N,Y,N,Y,,,,OK,"""Search engines like Sketch Engine COVID-19, Sinequa
COVID-19 Intelligent Search, Microsoft‰__s CORD19 Search, and
Amazon‰__s CORD19 Search use a variety of methodologies É"""
136,COVIDnet,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7486976/,PRO,SN,Y,N,N,Y,python,https://github.com/lindawangg/COVID-Net,,OK,
137,scDeepCluster,1,https://api.elsevier.com/content/article/pii/S1359644620304153;https://www.ncbi.nlm.nih.gov/pubmed/33059075/;https://www.sciencedirect.com/science/article/pii/S1359644620304153;https://doi.org/10.1016/j.drudis.2020.10.002,PUB,SN,Y,N,N,Y,,,,OK,
138,Cedars100,1,http://medrxiv.org/cgi/content/short/2020.04.19.20070995v1?rss=1;https://www.ncbi.nlm.nih.gov/pubmed/32511625/;https://doi.org/10.1101/2020.04.19.20070995,NAM,NA,Y,N,N,Y,,,,OK,"""Unpublished dataset from MIRIAD Biobank of Cedars-Sinai Medical Center"""
139,Cipro,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120073/,NAM,NA,Y,N,N,Y,,,,OK,
140,SLIC,1,https://www.ncbi.nlm.nih.gov/pubmed/32837245/;https://doi.org/10.1007/s11063-020-10330-8,NAM,SN,Y,N,N,Y,,,,OK,
141,TACTIC,14,https://doi.org/10.1186/s13063-020-04535-4;https://www.ncbi.nlm.nih.gov/pubmed/32641154/,NAM,NA,N,N,N,Y,,,,OK,TAC TIC-R: a study protocol for a randomised controlled trial
142,KINETIC,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2290050/,PUB,SN,Y,N,N,Y,,,,OK,
143,Sina Microblog,22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7666167/,NAM,SN,Y,N,N,Y,,,,OK,
144,COordinar,1,https://api.elsevier.com/content/article/pii/S0213485320300736;https://www.sciencedirect.com/science/article/pii/S0213485320300736?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32364127/;https://doi.org/10.1016/j.nrl.2020.04.008,NAM,NA,Y,N,N,Y,,,,OK,"""Acr—nimo CORONA: COordinar, Reconocer, Organizar, Neuroimagen, Alta"""
145,ArcToolbox,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5127488/,NOT,SN,Y,N,N,Y,,,,OK,"ArcToolbox seems to be describing what's the kind of the software, not its proper name"
146,GRAMMAS,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167033/,NAM,SN,N,N,N,Y,,,,OK,"""Allelic association was calculated with PLINK and GRAMMAS of the GenABEL package was used to correct for genetic kinship"""
147,QNN,2,https://arxiv.org/pdf/2011.07145v1.pdf,NAM,NA,Y,N,N,Y,,,,OK,Quantum Neural Network (QNN)
148,SLiMDisc,1,https://www.ncbi.nlm.nih.gov/pubmed/31427097/;https://api.elsevier.com/content/article/pii/S0167779919301738;https://www.sciencedirect.com/science/article/pii/S0167779919301738;https://doi.org/10.1016/j.tibtech.2019.07.004,PUB,SN,Y,N,N,Y,python,,,OK,
149,AUTO3DEMSPARX,1,https://api.elsevier.com/content/article/pii/B978012374920800120X;https://www.sciencedirect.com/science/article/pii/B978012374920800120X,PUB,SN,N,N,N,Y,,,,OK,Merged two programs: AUTO3DEM and SPARX
