software,count
"OriginLab",23
"BlastiMer",1
"Gene Pix Pro",1
"robKalman",4
"BIAcore T100",1
"evolutiondevelopment",1
"DAVID Pathway",1
"INEXAS",1
"PRiSMA",4
"ESOPRS",1
"Wikidata Property - Suggester",1
"DxCare Ò",1
"SISMOWINE",1
"multiflow",1
"LibreView",17
"GolayMetaMiner",12
"FEMTruncatedPowerLaw",1
"vURTI",1
"FociCounter",1
"Hike Messenger",1
"Google Custom Search API",1
"TautLYP",1
"cluspro",1
"ALLE",1
"Euler assembler",1
"NIH Quality Assessment Tool",1
"Kakao Chat Application",1
"LARDRDP3",3
"AND",1
"Labomed",1
"QWACs",1
"MUSCLE Multiple Sequence Alignment",1
"mGenTHREADER",4
"PrusaSlicr",1
"car",27
"Orbi",2
"Google Voice",5
"AFFINITY",1
"FlowJo",262
"Genmod",1
"Android Bluetooth LE scanner",2
"InfAct",1
"PERMAONVA",1
"Spinach2",1
"Fast",32
"filterList",1
"AutoDock Tools1",1
"- p",1
"NText",1
"UTAUT",102
"El",2
"R package ggseqlogo",1
"Proteome Discoverer1",1
"Gaode Map",2
"ThunderSTORM",3
"Nucleotide Basic Local Alignment Search Tools (BLASTN)",1
"NeuroIRIS",1
"ctlpred",1
"BiOnt",1
"pdr",1
"Time Search",3
"AVA",7
"LIFD",1
"Chem3D Pro",3
"QRISK",1
"DISCoVER",1
"Conacyt",1
"lnetThe",1
"Seqed",1
"CRADLE",15
"NTI",1
"QCapture",1
"Adobe Acrobat Reader",2
"SeqOPT",1
"Agile Manifesto",1
"GSEApy",2
"Ennov Clinical®",1
"Dietmate Pro",1
"PANEL",1
"EchoPAC",1
"You Only Look Once (YOLO",1
"MODELLER8v1",1
"- 19 Research Tools",1
"LGBM",1
"scRepertoire",2
"3DNA",5
"VisionPro Learning",1
"ZoraBots",1
"MedBERT",2
"Puduppully",3
"CoLA",2
"VGI",4
"TwoVS",20
"Triage",1
"ICNP®",1
"BeeTrace",18
"SciVi scientific",1
"Clustal W2",6
"RCRA",1
"statistical package for the social sciences (SPSS",1
"ECFS",2
"FoMO",17
"PubMLST",2
"FPocket",16
"Ontological",1
"EEMD",2
"EPUAP",1
"Pandemic Influenza Severity Assessment tool",2
"RS Modification and Motif Analysis",1
"phylog",2
"3DSEARCH",1
"FUNCAT",2
"CovSegNethybrid",1
"CENTER",3
"Atmel Studio",1
"SHEET",1
"RegSMOImproved",1
"COVID Knowledge Extractor (COKE)",1
"FlowJo®",2
"Promide",3
"Topol",2
"ChemoStar Professional",4
"PhylloZyme",1
"InMotion",1
"Temephos",1
"catRAPID express",1
"SEPAS",1
"LernRisk",1
"Graviton",3
"Buxco FinePointe",1
"DPOdactic",4
"google engine",1
"SwissPDBViewer)",1
"AGM",2
"CLH",1
"Euk",13
"DIVAs",3
"ivD platform",1
"Mass spec",1
"predisi",2
"NAOqi",1
"Fluidigm Digital Array TM",1
"CLC Genomics Workbench (CLC Bio",1
"Calcusyn®",1
"ABI Inform",2
"Allergen Online",1
"Cyclone",6
"XAMPP",1
"GenSript",1
"ADSS",2
"MutantW",1
"Cytometry List Mode Acquisition",1
"Reveal LINQ",1
"QM",1
"Flow Jo",14
"DROPimage Matrix",1
"Arelequin",1
"WebQuests",25
"cur",2
"SIRemp",5
"CONQUEST",29
"Review Manager",114
"Postman",2
"23andMe",2
"kuenm",2
"computeReachtube",4
"CERQual",18
"Isogrid",16
"Curate Exposures",1
"PRRTE",2
"Mobile Analysis Platform (MAP)",1
"Schibsted Life",2
"Amplidiag® Analyzer",1
"MBSAP",4
"LoCost",20
"Kinsa Insights",1
"APSIM",1
"SaxoTraderGO",1
"Prometric",2
"IPEDS",1
"Statistical Package for the Social",1
"SpectraWiz spectrometer",1
"4000 Series Explorer",2
"Primus (",1
"AIA",5
"Rcpp",7
"MEDS",1
"Living Image",17
"Priv",1
"AckermAnn",1
"M5STACK",1
"SFIDE",1
"PrimerCompare",1
"DNAMLK",2
"BootScanSiScan in Recombination Detection Program",1
"NetPathOntoCancro",1
"Q3B",5
"FERG",1
"Condmat",4
"Filemaker Pro",2
"SLP",1
"TopNetTree",1
"Cytoscape3",5
"Statistica",83
"CBTOPE",16
"R pROC package",1
"SNPsplit",2
"SHAPEKnots",1
"DEDICATED",1
"Moliso",1
"LBDI",1
"Dendextend",1
"Worldometers",4
"MSAProbs",3
"forum",2
"UEL",1
"Lasergene DNASTAR)",1
"FAIR",1
"InfluxData",2
"OS MasterMap Open Greenspace Layer",1
"statistical Package for Social Sciences",1
"addreg",1
"MAAM",1
"imputer",1
"KNApSAcK",1
"HyperDocs",159
"Indri search engine",1
"ASE Echo",1
"UIowaS",1
"NordiQC",1
"SPSS for Window",1
"Picture Archiving and Communication Systems (",1
"Arduino Software / Integrated Development Environment (IDE)",1
"Fiji ImageJ",10
"MAstV",1
"AeroVanc",2
"LISFLOOD",8
"Smart System of Disease Management (SSDM",1
"DNSMON",1
"DTC Bypath",1
"GERDA",6
"Walker2d",1
"GENESCAN",1
"SANA",1
"CAMRT",1
"LDPO",1
"EADock ESS",1
"Linux Lubuntu",1
"UIT",1
"GEIC",1
"EUCAST",16
"geneious",2
"Isolite",1
"BertViz",2
"MINT",22
"FIGURA",2
"CIMIT Medical Device Plug - and - Play (MDPnP)",1
"ChexNet",2
"SpaCy",2
"MSLT",1
"32",1
"TensorLy",1
"NADT",1
"BlueEHR",1
"odinger Suite",1
"iSeeRNA",2
"mlinfo",1
"NCSI",1
"- BLAST)",2
"Statute Square",1
"Madhesive",1
"mPloc",4
"ComCare",1
"MROAST R package",2
"Telco",6
"GeneBee",1
"PSCAN",2
"PALM",20
"Comcast",1
"CoreWeave",1
"DCCNAL",1
"ECMO",3
"Raspbian Buster",1
"NVERE",1
"Data Acquisition",1
"Cytobank FCS File Concatenation",1
"WooTube",1
"ROTACS",1
"Zen2011",1
"HSA",1
"ALDEx2",4
"BIODEV",1
"WebAssembly",11
"Multi Gauge",2
"- GLUEGenes Linked by Underlying Evolution (GLUE)",1
"Multichoice",1
"SECT",2
"TMiRob",2
"CELL QUEST",1
"BrainLAB iPlan",1
"Pharos",2
"SponzFest",1
"Ibsen",1
"Quick",3
"MedSeg",2
"DF",2
"Freegate",1
"HyP",1
"AGYW",1
"Dell",1
"SilentReminderE",1
"BNB",1
"QTAS HORAS",1
"TT",1
"SimConnect SDK",1
"RDFa",3
"est",7
"QEVO®",5
"Lasergene Ò",1
"PyTextRank",1
"gem5",4
"SISTA",1
"BioMart ID converter",1
"Genome Detective Coronavirus Typing Tool",4
"BLAST + application",1
"WeDoctor",1
"hrsACE2",1
"EUPHAS",1
"Geneious ® Prime",1
"Alphafold",2
"NET NEURON",1
"SICO - eVM)",1
"RA",2
"MOE®",3
"GEMx",2
"ClinVar",6
"Lasergene PrimerSelect",1
"Quickoffice",1
"CELLQuest",8
"CFDA",1
"Mojave",2
"Genetic Profiler",1
"LOCK",13
"MeaSurement Tool to Assess systematic Reviews - 2 (AMSTAR - 2)",1
"ParFlow",13
"Air",4
"CONSTRAINT",2
"surveillance",2
"/ Astra",1
"- Base ld _ clump R packageMVMR R",1
"Avadis",1
"RAINFOR",1
"ModEval",1
"MuMIn R package",1
"ARDIYRASY",2
"plethy",1
"LifeGene",46
"AROME",1
"PhosTransfer",1
"NIKON elements",1
"Parflow",4
"GtoImmuPdb",2
"NanopolishComp",1
"Cochrane LibraryÓ",1
"RBPuite",1
"InSHAPE",1
"TOURGO",1
"DNAnexus",6
"TORIAL",1
"JMAnalyser",1
"PNRG",1
"NGAL",2
"ModRef",1
"ReValidate",2
"Libdock",8
"CavityPlus",7
"EG",4
"FORMA",1
"SafeGraph Social Distancing Metrics",1
"GPT AI GPT",1
"Verizon LTE",1
"Ansys",9
"TOLLIP",1
"mol2",2
"Salesforce",3
"sowas",2
"Jason",2
"Doc2Query",1
"NormFinder",297
"BibTeX",3
"Spiral",1
"AllKNN",1
"R 0 package",1
"deseq2",1
"EEGLAB",11
"Climate Action Tracker (CAT",1
"SAMtools",16
"Google Adsense",1
"BORE",14
"Google Maps Java - Script API",1
"ISDE",1
"RBS",1
"ESTO",1
"NIMPLY",1
"NetFlix",2
"PAIR",2
"Jalview",109
"NoSQL MongoDB",1
"NetMHCIIpanImmune Epitope Database and Analysis Resource (IEDB)",1
"ISEV",2
"Apache Hama",1
"Nat",5
"PredPhosphoScansite",1
"Packmol",4
"ACCpro20",1
"Svft",1
"LAPK",1
"XENON",1
"Etherpads",1
"CLeVer",1
"Statistical Package of Social Sciences software (SPSS)",1
"CCUM",5
"ICCMS",1
"Solid Works",1
"COGS",1
"VizWiz",1
"ROBOT",2
"COVIDResNet",2
"OpenSMILES",1
"Molecular Evolutionary Genetics Analysis 6 .",1
"Hydrasys",1
"PORTACOUNT Pro +",1
"Instant Messenger",1
"- Logger",1
"RDP (Recombination Detection Program)",1
"NDE Process",1
"ANVUR",2
"OpenCV",9
"SubtiWiki",1
"proc",1
"SOLSIM",1
"gp10",2
"NeaNet",9
"fysiek",1
"OntoGaCLeS",1
"GlycoWorkbench",5
"MedicalGIS",1
"Comate",1
"EnCOM",1
"MATHia",1
"Medscape",21
"HELIYON",1
"Pharma",4
"Digital",13
"Network View",1
"ProteoWizard",1
"Excel Bedmaster",1
"Google Trends Search Trends",1
"Qry",1
"ABGD",1
"JPRED",7
"Google Correlate Service",1
"SPARTA",10
"Hyperchem |",1
"ACHR",3
"PodCastle",1
"Anaglyph",1
"ler9",1
"Google Pixel 2",1
"Tophat2 mapper",1
"Rotarix",3
"Sunquest Integrated Clinical Environment (ICE)",1
"FastMLGraphical Representation of Ancestral Sequence Predictions (GRASP)",1
"GeneOverlap",7
"Mapman",6
"DECAF",2
"Brant",1
"ANODE",1
"Vowpal Wabbit",1
"MyStudies",1
"LungMAP",2
"PhenomeNET",1
"iSCAN",3
"Exscientia",2
"Phidgets",2
"Yahoo",79
"DUET",18
"Code Orange",1
"Power Data Access Viewer (DAV)",1
"SBDiEM",3
"Network Field Bioinformatics",1
"taGenome ANalyzer (MEGAN)",1
"MASROOR",1
"COVID Tool",1
"dbAMP",2
"wordclouds",1
"Grad",238
"Euroqol",1
"GHSI",1
"LifeBridge",1
"GeneXpert",90
"bcl2fastq",4
"Vektorbasis",3
"AI Covid Tracker",1
"PRETEXT",1
"AXIS",11
"Jelinek",2
"Prism5",4
"Our World",3
"HRV Python",1
"BIOSIM",1
"R Core TeamR Foundation for Statistical Computing",1
"GENOMIT",1
"SpaceTugs",2
"EVAMICA",1
"LISA (Local Indicators of Spatial Autocorrelation)",1
"SumP",1
"LogNewTestit",3
"PureProfile",2
"BSAT",3
"Maxent",42
"UMLS",17
"Builder",10
"Tweet Collection",1
"SiScan3Seq",1
"Tax4Fun",2
"QProbe",2
"Tensorflow Lite",2
"Frontage",1
"MS",31
"HUIM",10
"Taverna workbench",1
"Cellvizio",1
"RestNetAtteRadi",1
"R package RobLox",1
"rSARS",2
"Google Cloud©",1
"ORALVAC",1
"CombiMatrix System",1
"ICEM",6
"Cellclone",1
"Sierra PlotCoverage",1
"R library AED",1
"Mathigon",1
"DAWn",1
"Alcaniz",1
"EXMA",1
"OTseeker",2
"GenEpiSim",1
"CAPRI",52
"ode45",1
"FogBus",4
"Native",1
"BLAST® search",1
"iAMPpred",1
"node2vec",3
"CLC Genomics Workbench assembler",3
"R package clusterprofiler",1
"MendelianRandomization",3
"lightcycler",1
"StyleGAN2",5
"CSSA",9
"Test",3
"vMISTR1",1
"alakazam R package",1
"Informit Online",1
"DREEM",20
"Image Analysis Phantom®",1
"Google [UNK]",5
"Matlab Live - Script",1
"DASware®",2
"Research Square",2
"InFACT",1
"antsBrainExtraction",2
"SOLOMON",1
"Biacore evaluation",2
"OPTLC",1
"Gencode",9
"CharUtils",1
"DANONE",2
"SnapGene",3
"CODA",9
"Golden Helix",2
"Modelrisk",1
"PanCast",115
"bed2diffs",1
"Hybrid Capture",1
"LightCycler 480 Service",2
"DivErsity pArtitioning by hieRarchical Clustering (DEmARC)",1
"ExPaSy",2
"pot",1
"Stemade",1
"MiSeq",9
"RNASeq by Expectation Maximization (RSEM)",1
"OR PnP",1
"Vigileo Monitor",1
"Veles",2
"AcademicTwitter",1
"Solar",1
"PedsAnesthesia",1
"XTRACTs",3
"Gene traffic",1
"KIHASA",1
"Kodak Digital Science 1D Image Analysis",1
"CustomVision",7
"Sonosims®",1
"WINGZ",1
"AMSEO",9
"OligoAnalyzer",2
"MacroDox",1
"mdtraj",2
"Cell QuestPro",1
"Matlab optimization toolbox",1
"EstomatoNet",2
"SOLiD",5
"R package wavethresh",1
"Excel Workbook",1
"Kwd",1
"PMSYS",1
"ImageCLEFlifelog",1
"SysML",1
"IPN",1
"UZH",1
"Line app",1
"igragh",1
"IranMedexMagIran",1
"Dcomplex",4
"MsigDB",1
"NPDL engine",1
"CASCADE",28
"Chromeleon software",1
"DeepLoc",4
"newbler assembler",1
"HFACSÀMaintenance",1
"luminex",1
"ThT",1
"QuAC",1
"SPSS Stadistics",1
"THECGE",1
"Waters MassLynx",1
"TWIM",1
"ileader",1
"Radar",1
"HemoFAXS",3
"Illumina Nextseq 500",1
"Excel QI charts",1
"SIMMreported",1
"SNVeff",1
"MPRAu",1
"Biolidics",1
"Nextflow",2
"wA",1
"AHSE",1
"Widgets",1
"graphPad",3
"FIWARE NGSI",1
". pl",3
"DockRMSD",1
"Tableau Prep Builder",1
"MLMP",1
"Symploca",1
"DataLogger",1
"Raspberry Pi",15
"AutoPbsc",10
"rpart",27
"NosoLine",1
"ti",108
"Scanpy 163",1
"BioConda",3
"DrugScore (DSX)",1
"TILEK",2
"mRFEI",1
"Charazac",1
"- Phylogenetic Tree Prediction (",1
"Online Age Calculator",1
"iPeer2Peer",6
"Compute",3
"Rayyan",25
"Nutriquiz",6
"PREVENTT",1
"CScape",2
"NSGA",16
"Foursquare",9
"Flutracker",2
"Cart",1
"Inspector",2
"icolung",1
"Twitter search REST Application Programming Interface",1
"3CLpro",11
"OpenAPC",2
"AtMAD",1
"ILOG",1
"FlexURS",1
"mafft",42
"PeakForce QNM",2
"BayesSMILES",25
". exe",3
"lncRNA2Target",1
"RiNA",1
"PepSeq",8
"pygame",4
"PrimeQuestÔ",1
"GWCelery",3
"RAEW",1
"diMusic",1
"Tonometrics",1
"ChiroSolve",1
"vTZ",1
"AICM",2
"UPPMAX",2
"OpenABM",44
"Statsmodel Holt",1
"SOFIA",12
"Excel Visual Basic",1
"BOFIT",1
"GFOLD",1
"SHELXL2014",3
"VGStudio Max",1
"DecPDSAG",1
"LightGraphs",2
"NAGT",1
"COVIDOSE",16
"RespPlex",3
"RcppRoll",1
"qSOFA",6
"HC Image",1
"SiSCan",2
"Excel Office 365 ProPlus",1
"Selecton Server",2
"DGATs",7
"dynFPCA",1
"Leksell GammaPlan",1
"LabVIEW®",1
"KADIS",2
"Epicentre",2
"SMARXT",1
"EpiTrax",1
"PAT",3
"BIOVIA Discovery",1
"Capron",1
"RAMED",1
"prME",1
"ideaMakerSUITE",1
"minSim",2
"REMAP−COVID",1
"UW",2
