,software,count,urls
458,CBTOPE,16,"[['https://doi.org/10.1101/2020.11.19.390500'], ['https://www.ncbi.nlm.nih.gov/pubmed/28984193/', 'https://doi.org/10.1186/s12864-017-4024-8'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3710646/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4845023/'], ['https://doi.org/10.1016/j.heliyon.2020.e05760', 'https://www.ncbi.nlm.nih.gov/pubmed/33426322/'], ['https://doi.org/10.3390/vaccines2030515', 'https://www.ncbi.nlm.nih.gov/pubmed/26344743/']]"
459,R pROC package,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/33024092/', 'https://doi.org/10.1038/s41467-020-18684-2']]"
460,SNPsplit,2,"[['https://www.ncbi.nlm.nih.gov/pubmed/33442682/', 'https://doi.org/10.1101/2021.01.03.425167']]"
461,SHAPEKnots,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/32676598/', 'https://doi.org/10.1101/2020.07.10.197079'], ['https://www.ncbi.nlm.nih.gov/pubmed/33444546/', 'https://doi.org/10.1016/j.molcel.2020.12.041', 'https://www.sciencedirect.com/science/article/pii/S109727652030962X?v=s5', 'https://api.elsevier.com/content/article/pii/S109727652030962X']]"
462,DEDICATED,1,"[['https://www.sciencedirect.com/science/article/pii/S0020748920302674?v=s5', 'https://www.ncbi.nlm.nih.gov/pubmed/33080475/', 'https://doi.org/10.1016/j.ijnurstu.2020.103781', 'https://api.elsevier.com/content/article/pii/S0020748920302674']]"
463,Moliso,1,"[['https://api.elsevier.com/content/article/pii/S0968089610006085', 'https://www.sciencedirect.com/science/article/pii/S0968089610006085', 'https://doi.org/10.1016/j.bmc.2010.06.080', 'https://www.ncbi.nlm.nih.gov/pubmed/20634077/']]"
464,LBDI,1,"[['https://www.sciencedirect.com/science/article/pii/S004016251200039X', 'https://www.ncbi.nlm.nih.gov/pubmed/32287411/', 'https://doi.org/10.1016/j.techfore.2012.02.002', 'https://api.elsevier.com/content/article/pii/S004016251200039X']]"
465,Dendextend,1,[['https://doi.org/10.1101/2020.11.04.358739']]
466,Worldometers,4,"[['https://doi.org/10.1007/s10640-020-00442-z', 'https://www.ncbi.nlm.nih.gov/pubmed/32836835/'], ['https://doi.org/10.1007/s11071-020-05863-5', 'https://www.ncbi.nlm.nih.gov/pubmed/32836818/'], ['http://medrxiv.org/cgi/content/short/2020.05.06.20093666v1?rss=1', 'https://doi.org/10.1101/2020.05.06.20093666'], ['https://doi.org/10.3390/ijerph17197080', 'https://www.ncbi.nlm.nih.gov/pubmed/32992643/'], ['https://arxiv.org/pdf/2003.12055v1.pdf'], ['https://www.sciencedirect.com/science/article/pii/S2588931120300493', 'https://api.elsevier.com/content/article/pii/S2588931120300493', 'https://doi.org/10.1016/j.euo.2020.04.001', 'https://www.ncbi.nlm.nih.gov/pubmed/32327396/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32229705/', 'https://doi.org/10.18632/aging.102988'], ['https://doi.org/10.1101/2020.07.05.20146969', 'http://medrxiv.org/cgi/content/short/2020.07.05.20146969v1?rss=1']]"
467,MSAProbs,3,[['https://doi.org/10.1101/2020.07.16.207951']]
468,forum,2,"[['https://arxiv.org/pdf/2010.01150v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pubmed/32364301/', 'https://doi.org/10.1111/jpc.14903']]"
469,UEL,1,"[['https://www.sciencedirect.com/science/article/pii/S0010482516300397', 'https://api.elsevier.com/content/article/pii/S0010482516300397', 'https://www.ncbi.nlm.nih.gov/pubmed/27089305/', 'https://doi.org/10.1016/j.compbiomed.2016.02.010'], ['https://www.ncbi.nlm.nih.gov/pubmed/32906733/', 'https://doi.org/10.3390/molecules25184086'], ['https://www.sciencedirect.com/science/article/pii/S0223523420305316?v=s5', 'https://doi.org/10.1016/j.ejmech.2020.112559', 'https://www.ncbi.nlm.nih.gov/pubmed/32563814/', 'https://api.elsevier.com/content/article/pii/S0223523420305316'], ['https://doi.org/10.1016/j.ijbiomac.2020.06.213', 'https://www.sciencedirect.com/science/article/pii/S0141813020336655?v=s5', 'https://www.ncbi.nlm.nih.gov/pubmed/32599237/', 'https://api.elsevier.com/content/article/pii/S0141813020336655'], ['https://doi.org/10.1016/j.compbiomed.2020.103963', 'https://api.elsevier.com/content/article/pii/S0010482520302961', 'https://www.sciencedirect.com/science/article/pii/S0010482520302961?v=s5', 'https://www.ncbi.nlm.nih.gov/pubmed/32828990/'], ['https://api.elsevier.com/content/article/pii/S0010482520301281', 'https://www.sciencedirect.com/science/article/pii/S0010482520301281?v=s5', 'https://doi.org/10.1016/j.compbiomed.2020.103749', 'https://www.ncbi.nlm.nih.gov/pubmed/32568687/'], ['https://www.sciencedirect.com/science/article/pii/S0010482520300627', 'https://doi.org/10.1016/j.compbiomed.2020.103670', 'https://www.ncbi.nlm.nih.gov/pubmed/32209231/', 'https://api.elsevier.com/content/article/pii/S0010482520300627']]"
470,Lasergene DNASTAR),1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7268178/']]
471,FAIR,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7279931/']]
472,InfluxData,2,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7313304/'], ['https://www.sciencedirect.com/science/article/pii/S2352648320300398?v=s5', 'https://doi.org/10.1016/j.smhl.2020.100147', 'https://api.elsevier.com/content/article/pii/S2352648320300398', 'https://www.ncbi.nlm.nih.gov/pubmed/33251320/']]"
473,OS MasterMap Open Greenspace Layer,1,"[['https://doi.org/10.1371/journal.pone.0241102', 'https://www.ncbi.nlm.nih.gov/pubmed/33095838/']]"
474,statistical Package for Social Sciences,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/33461877/', 'https://doi.org/10.1016/j.clae.2021.01.005', 'https://api.elsevier.com/content/article/pii/S1367048421000096', 'https://www.sciencedirect.com/science/article/pii/S1367048421000096']]"
475,addreg,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/32418559/', 'https://doi.org/10.1017/s0950268820001065']]"
476,MAAM,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/32836799/', 'https://doi.org/10.1007/s11002-020-09526-8']]"
477,imputer,1,"[['https://doi.org/10.1016/j.matpr.2020.11.117', 'https://www.ncbi.nlm.nih.gov/pubmed/33224735/', 'https://www.sciencedirect.com/science/article/pii/S221478532038723X?v=s5', 'https://api.elsevier.com/content/article/pii/S221478532038723X']]"
478,KNApSAcK,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7798278/']]
479,HyperDocs,159,"[['https://www.ncbi.nlm.nih.gov/pubmed/32834414/', 'https://doi.org/10.1016/j.compedu.2020.103979', 'https://api.elsevier.com/content/article/pii/S0360131520301779', 'https://www.sciencedirect.com/science/article/pii/S0360131520301779?v=s5']]"
480,Indri search engine,1,[['https://arxiv.org/pdf/2011.12684v2.pdf']]
481,ASE Echo,1,"[['https://doi.org/10.1007/s11886-020-01310-4', 'https://www.ncbi.nlm.nih.gov/pubmed/32561996/']]"
482,UIowaS,1,[['https://arxiv.org/pdf/2010.06467v1.pdf']]
483,NordiQC,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7550230/']]
484,SPSS for Window,1,"[['https://www.sciencedirect.com/science/article/pii/S0266613806000568', 'https://www.ncbi.nlm.nih.gov/pubmed/17055624/', 'https://api.elsevier.com/content/article/pii/S0266613806000568']]"
485,Picture Archiving and Communication Systems (,1,"[['https://doi.org/10.1186/s12879-020-05683-3', 'https://www.ncbi.nlm.nih.gov/pubmed/33308183/']]"
486,Arduino Software / Integrated Development Environment (IDE),1,"[['https://doi.org/10.1007/s40860-020-00128-9', 'https://www.ncbi.nlm.nih.gov/pubmed/33457191/']]"
487,Fiji ImageJ,10,"[['https://doi.org/10.1016/j.jcmgh.2020.11.003', 'https://www.sciencedirect.com/science/article/pii/S2352345X2030182X?v=s5', 'https://api.elsevier.com/content/article/pii/S2352345X2030182X', 'https://www.ncbi.nlm.nih.gov/pubmed/33186749/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33477969/', 'https://doi.org/10.3390/antiox10010135'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5824891/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32390999/', 'https://doi.org/10.3389/fmicb.2020.00821'], ['https://doi.org/10.1101/2020.03.25.009084'], ['http://medrxiv.org/cgi/content/short/2020.07.13.20141036v1?rss=1'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7812058/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7431132/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7412095/'], ['https://doi.org/10.1186/s12951-021-00772-0', 'https://www.ncbi.nlm.nih.gov/pubmed/33468139/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33126860/', 'https://doi.org/10.1186/s10020-020-00224-9'], ['https://doi.org/10.1101/619924'], ['https://www.ncbi.nlm.nih.gov/pubmed/32937986/', 'https://doi.org/10.3390/s20185247']]"
488,MAstV,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5454415/']]
489,AeroVanc,2,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167879/']]
490,LISFLOOD,8,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206312/']]
491,Smart System of Disease Management (SSDM,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/32838309/', 'https://doi.org/10.1016/s2665-9913(20)30227-7', 'https://www.sciencedirect.com/science/article/pii/S2665991320302277', 'https://api.elsevier.com/content/article/pii/S2665991320302277']]"
492,DNSMON,1,"[['https://arxiv.org/pdf/2101.05030v1.pdf'], ['https://arxiv.org/pdf/2005.06127v2.pdf', 'https://www.sciencedirect.com/science/article/pii/S1389128620311622?v=s5', 'https://api.elsevier.com/content/article/pii/S1389128620311622']]"
493,DTC Bypath,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/33322141/', 'https://doi.org/10.3390/s20247140']]"
494,GERDA,6,"[['http://medrxiv.org/cgi/content/short/2020.05.03.20089235v1?rss=1', 'https://doi.org/10.1101/2020.05.03.20089235'], ['https://arxiv.org/pdf/2006.09780v1.pdf']]"
495,Walker2d,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206262/']]
496,GENESCAN,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/16781089/', 'https://api.elsevier.com/content/article/pii/S0378111906002046', 'https://www.sciencedirect.com/science/article/pii/S0378111906002046'], ['https://www.ncbi.nlm.nih.gov/pubmed/18989457/', 'https://doi.org/10.1371/journal.pgen.1000251'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7109834/']]"
497,SANA,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088195/']]
498,CAMRT,1,"[['https://doi.org/10.1016/j.jmir.2019.07.011', 'https://api.elsevier.com/content/article/pii/S1939865417301157', 'https://www.ncbi.nlm.nih.gov/pubmed/31623975/', 'https://www.sciencedirect.com/science/article/pii/S1939865417301157']]"
499,LDPO,1,"[['https://www.sciencedirect.com/science/article/pii/S0933365719302635?v=s5', 'https://api.elsevier.com/content/article/pii/S0933365719302635', 'https://doi.org/10.1016/j.artmed.2020.101878', 'https://www.ncbi.nlm.nih.gov/pubmed/32425358/']]"
500,EADock ESS,1,[['https://arxiv.org/pdf/2003.10642v2.pdf']]
501,Linux Lubuntu,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276260/']]
502,UIT,1,"[['https://api.elsevier.com/content/article/pii/S1473837620302100', 'https://www.sciencedirect.com/science/article/pii/S1473837620302100', 'https://www.ncbi.nlm.nih.gov/pubmed/33071647/', 'https://doi.org/10.1016/j.jhlste.2020.100274'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7404853/']]"
503,GEIC,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7806255/']]
504,EUCAST,16,"[['https://doi.org/10.1016/j.cmi.2020.08.008', 'https://api.elsevier.com/content/article/pii/S1198743X20304894', 'https://www.sciencedirect.com/science/article/pii/S1198743X20304894?v=s5', 'https://www.ncbi.nlm.nih.gov/pubmed/32827714/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33291313/', 'https://doi.org/10.3390/jof6040343'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123673/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129943/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128307/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32967270/', 'https://doi.org/10.3390/microorganisms8091447'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5374592/']]"
505,geneious,2,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4251355/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7169744/']]"
506,Isolite,1,"[['https://www.sciencedirect.com/science/article/pii/S0002817714611454', 'https://api.elsevier.com/content/article/pii/S0002817714611454', 'https://www.ncbi.nlm.nih.gov/pubmed/23115148/']]"
507,BertViz,2,"[['https://arxiv.org/pdf/2010.02494v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7148038/']]"
508,MINT,22,"[['https://doi.org/10.1101/2020.06.16.153817', 'https://www.ncbi.nlm.nih.gov/pubmed/32587962/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6275871/'], ['http://europepmc.org/articles/pmc4919574?pdf=render', 'https://www.ncbi.nlm.nih.gov/pubmed/26817613/', 'https://doi.org/10.1586/14789450.2016.1147353'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4278915/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417912/'], ['https://doi.org/10.7150/ijms.46378', 'https://www.ncbi.nlm.nih.gov/pubmed/33029094/'], ['https://doi.org/10.1093/database/baaa096', 'https://www.ncbi.nlm.nih.gov/pubmed/33206959/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32830041/', 'https://www.sciencedirect.com/science/article/pii/S1525861020306228', 'https://doi.org/10.1016/j.jamda.2020.07.011', 'https://api.elsevier.com/content/article/pii/S1525861020306228'], ['https://doi.org/10.1101/2020.06.15.153643'], ['https://www.sciencedirect.com/science/article/pii/S1084952117304998', 'https://www.ncbi.nlm.nih.gov/pubmed/30031213/', 'https://api.elsevier.com/content/article/pii/S1084952117304998', 'https://doi.org/10.1016/j.semcdb.2018.07.018'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417911/'], ['https://doi.org/10.3390/genes11101230', 'https://www.ncbi.nlm.nih.gov/pubmed/33092188/'], ['https://api.elsevier.com/content/article/pii/S2351978920316024', 'https://www.sciencedirect.com/science/article/pii/S2351978920316024'], ['https://www.ncbi.nlm.nih.gov/pubmed/23950709/', 'https://doi.org/10.1371/journal.ppat.1003514'], ['https://doi.org/10.1186/1752-0509-4-117', 'https://www.ncbi.nlm.nih.gov/pubmed/20727158/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7123116/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7161785/'], ['https://doi.org/10.1101/2020.03.11.986836'], ['https://doi.org/10.1186/s13637-017-0059-z', 'https://www.ncbi.nlm.nih.gov/pubmed/28477207/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2686459/'], ['https://api.elsevier.com/content/article/pii/B978012384890100011X', 'https://www.sciencedirect.com/science/article/pii/B978012384890100011X']]"
509,FIGURA,2,"[['https://www.sciencedirect.com/science/article/pii/S2605153220300753?v=s5', 'https://api.elsevier.com/content/article/pii/S2605153220300753'], ['https://api.elsevier.com/content/article/pii/S0213485320301079', 'https://www.ncbi.nlm.nih.gov/pubmed/32561333/', 'https://doi.org/10.1016/j.nrl.2020.05.006', 'https://www.sciencedirect.com/science/article/pii/S0213485320301079?v=s5'], ['https://api.elsevier.com/content/article/pii/S1138359320301957', 'https://www.ncbi.nlm.nih.gov/pubmed/32600935/', 'https://www.sciencedirect.com/science/article/pii/S1138359320301957?v=s5', 'https://doi.org/10.1016/j.semerg.2020.06.003']]"
510,CIMIT Medical Device Plug - and - Play (MDPnP),1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7097478/']]
511,ChexNet,2,"[['https://www.ncbi.nlm.nih.gov/pubmed/33208927/', 'https://doi.org/10.1038/s41551-020-00633-5'], ['https://doi.org/10.1007/s13246-020-00888-x', 'https://www.ncbi.nlm.nih.gov/pubmed/32588200/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32534344/', 'https://www.sciencedirect.com/science/article/pii/S0169260720314140?v=s5', 'https://arxiv.org/pdf/2004.04931v3.pdf', 'https://api.elsevier.com/content/article/pii/S0169260720314140', 'https://doi.org/10.1016/j.cmpb.2020.105581'], ['https://arxiv.org/pdf/2011.01787v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pubmed/33275187/', 'https://doi.org/10.1007/s13246-020-00952-6']]"
512,SpaCy,2,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7256571/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7298177/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334163/'], ['https://arxiv.org/pdf/2101.03988v1.pdf'], ['https://arxiv.org/pdf/2006.00088v1.pdf'], ['https://arxiv.org/pdf/2011.05910v1.pdf'], ['https://arxiv.org/pdf/2101.04617v1.pdf'], ['https://arxiv.org/pdf/2008.12348v2.pdf'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815194/'], ['https://arxiv.org/pdf/2010.06395v1.pdf'], ['https://arxiv.org/pdf/2009.04617v1.pdf'], ['https://doi.org/10.1101/2020.12.07.20243881', 'http://medrxiv.org/cgi/content/short/2020.12.07.20243881v1?rss=1'], ['https://doi.org/10.1101/2021.01.30.21250083', 'http://medrxiv.org/cgi/content/short/2021.01.30.21250083v1?rss=1'], ['https://arxiv.org/pdf/2006.16849v1.pdf'], ['https://arxiv.org/pdf/2007.12731v1.pdf'], ['https://doi.org/10.1016/j.asoc.2020.107057', 'https://www.sciencedirect.com/science/article/pii/S1568494620309959', 'https://api.elsevier.com/content/article/pii/S1568494620309959', 'https://www.ncbi.nlm.nih.gov/pubmed/33519326/']]"
513,MSLT,1,"[['https://doi.org/10.1186/s12916-019-1259-z', 'https://www.ncbi.nlm.nih.gov/pubmed/30704529/']]"
514,32,1,"[['https://doi.org/10.1371/journal.ppat.1006989', 'https://www.ncbi.nlm.nih.gov/pubmed/29652922/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119934/']]"
515,TensorLy,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/32640742/', 'https://doi.org/10.3390/ijerph17134872'], ['https://arxiv.org/pdf/2010.01600v1.pdf']]"
516,NADT,1,[['https://academic.oup.com/cid/article-pdf/54/suppl_2/S153/20938419/cir1060.pdf']]
517,BlueEHR,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7437110/']]
518,odinger Suite,1,"[['https://doi.org/10.1080/07391102.2020.1868335', 'https://www.ncbi.nlm.nih.gov/pubmed/33382023/']]"
519,iSeeRNA,2,"[['https://www.ncbi.nlm.nih.gov/pubmed/26697116/', 'https://doi.org/10.1186/s13040-015-0075-z']]"
520,mlinfo,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/22295056/', 'https://doi.org/10.1371/journal.pone.0028268']]"
521,NCSI,1,"[['https://doi.org/10.1016/j.scib.2020.04.043', 'https://www.ncbi.nlm.nih.gov/pubmed/32373394/', 'https://api.elsevier.com/content/article/pii/S2095927320302814', 'https://www.sciencedirect.com/science/article/pii/S2095927320302814?v=s5']]"
522,- BLAST),2,"[['https://www.ncbi.nlm.nih.gov/pubmed/33506114/', 'https://api.elsevier.com/content/article/pii/S2405580820302065', 'https://www.sciencedirect.com/science/article/pii/S2405580820302065', 'https://doi.org/10.1016/j.bbrep.2020.100896'], ['https://doi.org/10.3389/fmicb.2020.577497', 'https://www.ncbi.nlm.nih.gov/pubmed/33365016/']]"
523,Statute Square,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120968/']]
524,Madhesive,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7314705/']]
525,mPloc,4,"[['https://www.ncbi.nlm.nih.gov/pubmed/28890846/', 'https://doi.org/10.7717/peerj.3561']]"
526,ComCare,1,"[['https://doi.org/10.3205/zma001387', 'https://www.ncbi.nlm.nih.gov/pubmed/33364373/']]"
527,MROAST R package,2,[['https://doi.org/10.1101/2020.12.29.424739']]
528,Telco,6,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264964/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120818/'], ['https://arxiv.org/pdf/2005.04519v2.pdf']]"
529,GeneBee,1,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7089039/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7089174/']]"
530,PSCAN,2,"[['https://www.ncbi.nlm.nih.gov/pubmed/25534508/', 'https://doi.org/10.1186/1471-2164-15-1161'], ['https://www.ncbi.nlm.nih.gov/pubmed/25977790/', 'https://doi.org/10.1038/sdata.2014.33']]"
531,PALM,20,"[['https://www.ncbi.nlm.nih.gov/pubmed/32287979/', 'https://doi.org/10.1016/j.buildenv.2017.12.018', 'https://www.sciencedirect.com/science/article/pii/S0360132317305863', 'https://api.elsevier.com/content/article/pii/S0360132317305863'], ['https://arxiv.org/pdf/2005.12612v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pubmed/32834511/', 'https://api.elsevier.com/content/article/pii/S0925753520302630', 'https://doi.org/10.1016/j.ssci.2020.104866', 'https://www.sciencedirect.com/science/article/pii/S0925753520302630?v=s5'], ['https://doi.org/10.1016/bs.ctm.2015.03.008', 'https://api.elsevier.com/content/article/pii/S1063582315000095', 'https://www.ncbi.nlm.nih.gov/pubmed/26015281/', 'https://www.sciencedirect.com/science/article/pii/S1063582315000095'], ['https://www.ncbi.nlm.nih.gov/pubmed/33497877/', 'https://www.sciencedirect.com/science/article/pii/S0956566321000403', 'https://api.elsevier.com/content/article/pii/S0956566321000403', 'https://doi.org/10.1016/j.bios.2021.113004']]"
532,Comcast,1,"[['https://arxiv.org/pdf/2004.13569v2.pdf', 'https://www.sciencedirect.com/science/article/pii/S1389128620306046?v=s5', 'https://api.elsevier.com/content/article/pii/S1389128620306046'], ['https://arxiv.org/pdf/2010.02781v1.pdf'], ['https://arxiv.org/pdf/2011.00419v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pubmed/32837888/', 'https://doi.org/10.1016/j.hlpt.2020.08.001', 'https://api.elsevier.com/content/article/pii/S2211883720300733', 'https://www.sciencedirect.com/science/article/pii/S2211883720300733?v=s5'], ['https://arxiv.org/pdf/2012.09850v2.pdf'], ['https://arxiv.org/pdf/2012.03293v1.pdf']]"
533,CoreWeave,1,"[['https://doi.org/10.1101/2020.06.27.175430', 'https://www.ncbi.nlm.nih.gov/pubmed/32637963/']]"
534,DCCNAL,1,[['https://arxiv.org/pdf/2012.02825v1.pdf']]
535,ECMO,3,"[['https://api.elsevier.com/content/article/pii/S0122726220300811', 'https://www.sciencedirect.com/science/article/pii/S0122726220300811?v=s5'], ['https://www.sciencedirect.com/science/article/pii/S1288333616793824', 'https://api.elsevier.com/content/article/pii/S1288333616793824'], ['https://www.sciencedirect.com/science/article/pii/S1636557717821131', 'https://api.elsevier.com/content/article/pii/S1636557717821131']]"
536,Raspbian Buster,1,[['https://arxiv.org/pdf/2010.05247v1.pdf']]
537,NVERE,1,"[['https://arxiv.org/pdf/2008.11883v1.pdf'], ['https://doi.org/10.1002/gch2.202000067', 'https://www.ncbi.nlm.nih.gov/pubmed/33173592/']]"
538,Data Acquisition,1,"[['https://doi.org/10.1371/journal.ppat.1005817', 'https://www.ncbi.nlm.nih.gov/pubmed/27579713/']]"
539,Cytobank FCS File Concatenation,1,[['https://doi.org/10.1101/2020.09.24.311498']]
540,WooTube,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7652918/']]
541,ROTACS,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103198/']]
542,Zen2011,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/26166259/', 'https://www.sciencedirect.com/science/article/pii/S1094553915000747', 'https://doi.org/10.1016/j.pupt.2015.07.001', 'https://api.elsevier.com/content/article/pii/S1094553915000747'], ['https://doi.org/10.1007/s00429-020-02154-y', 'https://www.ncbi.nlm.nih.gov/pubmed/33141294/']]"
543,HSA,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/32918236/', 'https://doi.org/10.1007/s10822-020-00341-x']]"
544,ALDEx2,4,"[['https://doi.org/10.1101/2020.12.14.422688'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193045/']]"
545,BIODEV,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/19006507/', 'https://doi.org/10.1111/j.1708-8305.2008.00232.x']]"
546,WebAssembly,11,"[['https://arxiv.org/pdf/2101.00784v1.pdf'], ['https://arxiv.org/pdf/2011.09350v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7702243/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7345367/'], ['https://arxiv.org/pdf/2010.15403v1.pdf']]"
547,Multi Gauge,2,"[['https://www.ncbi.nlm.nih.gov/pubmed/24966209/', 'https://doi.org/10.7554/elife.02910'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5220342/'], ['https://www.ncbi.nlm.nih.gov/pubmed/27902373/', 'https://doi.org/10.1099/jgv.0.000663'], ['https://doi.org/10.1371/journal.ppat.1008093', 'https://www.ncbi.nlm.nih.gov/pubmed/31600344/'], ['https://www.ncbi.nlm.nih.gov/pubmed/30048535/', 'https://doi.org/10.1371/journal.pone.0201250']]"
548,- GLUEGenes Linked by Underlying Evolution (GLUE),1,"[['https://doi.org/10.1371/journal.ppat.1008902', 'https://www.ncbi.nlm.nih.gov/pubmed/33035262/']]"
549,Multichoice,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7330882/']]
550,SECT,2,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7238719/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7080153/']]"
551,TMiRob,2,"[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7837077/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7556569/']]"
552,CELL QUEST,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/19740316/', 'https://doi.org/10.1111/j.1365-2567.2008.03030.x']]"
553,BrainLAB iPlan,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7097478/']]
554,Pharos,2,"[['https://www.ncbi.nlm.nih.gov/pubmed/33156327/', 'https://doi.org/10.1093/nar/gkaa993'], ['https://api.elsevier.com/content/article/pii/S0166093421000227', 'https://www.ncbi.nlm.nih.gov/pubmed/33515664/', 'https://www.sciencedirect.com/science/article/pii/S0166093421000227?v=s5', 'https://doi.org/10.1016/j.jviromet.2021.114083'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7764257/'], ['https://doi.org/10.1101/2020.06.01.127589', 'https://www.ncbi.nlm.nih.gov/pubmed/33083801/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33151287/', 'https://doi.org/10.1093/nar/gkaa997'], ['https://www.ncbi.nlm.nih.gov/pubmed/33173863/', 'https://doi.org/10.1101/2020.11.04.369041']]"
555,SponzFest,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7656517/']]
