,software,count,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments,rand_urls
26,MIMIC,8,PUB,NA,N,Y,No,Y,,,,_ALL,"Should be ""MIMIC-III""",https://arxiv.org/pdf/2010.15728v2.pdf
27,BFHI,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/32926659/;https://doi.org/10.1177/0890334420959292
28,MedAdvisor PlusOne,5,NAM,SN,y,Y,No,Y,,,,_ALL,,http://medrxiv.org/cgi/content/short/2020.12.14.20248212v1?rss=1
29,Horus,4,PUB,SN,N,N,No,Y,,,,_ALL,"Should be ""Parallel-Horus""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7304729/
30,OF,1,NAM,NA,N,N,No,N,,,,_ALL,"Should be ""OncoFinder"" (which does have a publication reference)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7795809/
31,NoDupsNonFunc,2,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/33006981/;https://doi.org/10.1371/journal.pone.0237689
32,GNU,17,MAN,SN,N,N,No,Y,,,,_ALL,"Should be ""GNU scientific library""",https://doi.org/10.1155/2011/238743;https://www.ncbi.nlm.nih.gov/pubmed/21151699/
33,SoapAligner,1,NAM,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/30359242/;https://doi.org/10.1186/s12864-018-5152-5
34,Google search volume,1,NAM,NA,Y,N,No,N,,,,_ALL,Probably should have been Google Trends (that would be software?),https://arxiv.org/pdf/2007.06566v1.pdf
35,PASMICOR,2,NAM,NA,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1016/j.psychres.2020.113252;https://api.elsevier.com/content/article/pii/S0165178120316000;https://www.ncbi.nlm.nih.gov/pubmed/32623263/;https://www.sciencedirect.com/science/article/pii/S0165178120316000
36,LiveHoods,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399565/
37,Tele,5,PUB,NA,N,N,No,N,,,,_ALL,"Probably should have been ""Tele.TAnDem intervention""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787127/
38,Ribosomal Multilocus Sequence Typing (rMLST),1,PUB,NA,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1101/2020.12.01.406348
39,Verigene √í,2,NAM,NA,N,N,No,Y,,,,_ALL,"Probably should have been ""Verigene® system""",https://api.elsevier.com/content/article/pii/B9780128029718000055;https://www.sciencedirect.com/science/article/pii/B9780128029718000055
40,AIROYoung,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815285/
41,IncuCyte imager,1,NAM,NA,Y,Y,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/33140051/;https://doi.org/10.1101/2020.10.29.361048
42,Well,11,PUB,NA,N,N,No,N,,,,_ALL,"Probably should have been ""Seq-Well v1"" or ""Seq-Well S3""",https://www.ncbi.nlm.nih.gov/pubmed/32413319/;https://api.elsevier.com/content/article/pii/S0092867420305006;https://www.sciencedirect.com/science/article/pii/S0092867420305006;https://doi.org/10.1016/j.cell.2020.04.035
43,json,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/32839733/;https://doi.org/10.1016/j.dib.2020.106175;https://www.sciencedirect.com/science/article/pii/S2352340920310696?v=s5;https://api.elsevier.com/content/article/pii/S2352340920310696
44,RuSentRel,2,PUB,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7298196/
45,pooledHyp,1,NAM,NA?,N,N,No,N,,,,_ALL,"This is a piece of R code but it refers to the variable ""pooledHyp_Atleast1""",https://www.ncbi.nlm.nih.gov/pubmed/32581260/;https://doi.org/10.1038/s41598-020-66280-7
46,iCircDA,1,PUB,SN,N,N,No,Y,,,,_ALL,"Should be ""iCircDA-MF""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7354774/
47,PWMEnrich,1,NAM,SN,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1016/j.ygeno.2020.12.041;https://www.ncbi.nlm.nih.gov/pubmed/33482326/;https://www.sciencedirect.com/science/article/pii/S0888754321000252?v=s5;https://api.elsevier.com/content/article/pii/S0888754321000252
48,spRTEM,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103177/
49,ASCOD,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543675/
50,#NAME?,2,URL,SF,N,N,No,N,,,,_ALL,"Probably should be ""NCBI SRA Toolkit sam-dump 2.8.2""",https://doi.org/10.1038/s41467-020-19883-7;https://www.ncbi.nlm.nih.gov/pubmed/33247099/
51,PsychThApprO,11,PUB,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7360497/
52,CoPIC,1,NAM,NA,Y,Y,No,Y,,,,_ALL,,https://doi.org/10.1101/2020.12.26.424422
53,Cellprofiler,4,PUB,SN,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1016/j.celrep.2020.108166;https://www.ncbi.nlm.nih.gov/pubmed/32966794/;https://www.sciencedirect.com/science/article/pii/S2211124720311554;https://api.elsevier.com/content/article/pii/S2211124720311554
54,GaussianFinder,1,NAM,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/32708196/;https://doi.org/10.3390/ijms21145152
55,#NAME?,1,INS,SN,N,N,No,Y,,,,_ALL,"Should be ""DNA Dynamo (Blue-Tractor Software, North Wales, UK)""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7397426/
56,Meke Meter,1,PUB,SN,Y,N,No,N,,,,_ALL,"Could be PUB, URL?",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443393/
57,Treeio,1,PUB,SN,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1111/2041-210x.13422;https://www.ncbi.nlm.nih.gov/pubmed/32983401/
58,Typeform,1,NAM,SN,Y,N,No,N,,,,_ALL,Should this be NA?,https://doi.org/10.1016/j.dib.2020.106287;https://www.ncbi.nlm.nih.gov/pubmed/32923550/;https://api.elsevier.com/content/article/pii/S2352340920311811;https://www.sciencedirect.com/science/article/pii/S2352340920311811?v=s5
59,DelPhiPKa,2,PUB,SN,Y,N,No,N,,,,_ALL,Software as a service - should this be NA?,https://www.ncbi.nlm.nih.gov/pubmed/32962355/;https://doi.org/10.1063/5.0020458
60,Marktest,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293961/
61,Energy Quest,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://api.elsevier.com/content/article/pii/S0306261920312290;https://www.ncbi.nlm.nih.gov/pubmed/32904736/;https://doi.org/10.1016/j.apenergy.2020.115739;https://www.sciencedirect.com/science/article/pii/S0306261920312290?v=s5
62,BAND,1,NAM,NA,Y,Y,No,N,,,,_ALL,"Method, not software?",https://doi.org/10.1101/2020.10.08.330696
63,Google Chart API,2,,UN,,N,,N,,,,_ALL,Could not find phrase?,https://www.ncbi.nlm.nih.gov/pubmed/24359669/;https://doi.org/10.1186/2049-9957-2-31
64,PHASER (,1,PUB,SN,N,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/33431856/;https://doi.org/10.1038/s41467-020-20501-9
65,TeKGraph,1,NAM,NA,Y,Y,No,Y,,,,_ALL,,https://arxiv.org/pdf/2010.11367v2.pdf
66,RT 2 Profiles Array Data Analysis,1,NAM,SN,N,N,No,Y,,,,_ALL,"Should be ""RT2
Profiles Array Data Analysis"" (2 is superscripted)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164006/
67,Fast Microsatellite Discoverer (FMSD),1,NAM,SN,Y,N,No,Y,,,,_ALL,Data will be available on request,https://doi.org/10.1016/j.imu.2020.100356;https://api.elsevier.com/content/article/pii/S2352914820302562;https://www.ncbi.nlm.nih.gov/pubmed/32501423/;https://www.sciencedirect.com/science/article/pii/S2352914820302562?v=s5
68,PyFS,5,PUB,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/33500740/;https://doi.org/10.1007/s12652-020-02600-z
69,Jext,3,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/33311677/;https://doi.org/10.1038/s41415-020-2454-1
70,rvtest,2,PUB,SN,Y,N,No,Y,,,,_ALL,Technically the software is called RVTESTS I think,https://www.ncbi.nlm.nih.gov/pubmed/33298875/;https://doi.org/10.1038/s41421-020-00231-4
71,SIMUL8,1,NAM,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7169842/
72,SRLF,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7117819/
73,VGAS (Viral Genome Annotation System),1,PUB,SN,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1186/s12862-020-01732-2;https://www.ncbi.nlm.nih.gov/pubmed/33514319/
74,featureCounts Galaxy,1,PUB,SN,N,N,No,Y,,,,_ALL,Probably should just be featureCounts,https://www.ncbi.nlm.nih.gov/pubmed/32374427/;https://doi.org/10.1002/jmv.25981
75,Protein Digestion Server,1,NAM,SN,Y,N,No,N,,,,_ALL,"Paper attached to earlier mention of Protein Digest Server but is this the same, and the papers don't appear to describe the software",https://www.ncbi.nlm.nih.gov/pubmed/31075428/;https://www.sciencedirect.com/science/article/pii/S0882401018306053;https://api.elsevier.com/content/article/pii/S0882401018306053;https://doi.org/10.1016/j.micpath.2019.05.010
76,FIFI,1,PUB,UN,N,Y,No,N,,,,_ALL,PUB/SN if it's referring to FIFI_LS_REDUX (software). NAM/NA if it's referring to FIFI-LS (an instrument),https://arxiv.org/pdf/2101.01812v1.pdf
77,geoserver,1,NOT,SN,Y,N,No,N,,,,_ALL,"Geoserver appears to be a concept, not a specific piece of software",https://www.ncbi.nlm.nih.gov/pubmed/14748927/
78,Matlab Psychophysics Toolbox,1,PUB,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/33389675/;https://doi.org/10.3758/s13414-020-02187-9
79,Netica,1,INS,SN,Y,N,No,N,,,,_ALL,Is this both INS and URL or just INS?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088195/
80,Images Sorter,1,NAM,SF,Y,N,No,N,,,,_ALL,I think Images Sorter is a feature not a software,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7251932/
81,Hadoop File System,1,NAM,SN,Y,N,No,N,,,,_ALL,Is this SF?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7256368/
82,PregSure,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/22386740/;https://api.elsevier.com/content/article/pii/S0167587712000682;https://doi.org/10.1016/j.prevetmed.2012.02.008;https://www.sciencedirect.com/science/article/pii/S0167587712000682
83,1000 Functional Connectomes Project scripts,1,NAM,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7080092/
84,Docker Compose 4,1,URL,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7254549/
85,Serco,2,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7762901/
86,Crisis,2,PUB,SN,N,Y,No,Y,,,,_ALL,"Should be ""Crisis-Tracker""",https://arxiv.org/pdf/2101.05656v1.pdf
87,LOVIT,1,NAM,NA,N,N,No,Y,,,,_ALL,"Should be ""LOVIT-COVID""",https://www.ncbi.nlm.nih.gov/pubmed/33121019/;https://doi.org/10.3390/nu12113286
88,LifeSize,1,NAM,SN,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1007/s13187-020-01945-5;https://www.ncbi.nlm.nih.gov/pubmed/33442862/
89,CTL Biospot analyzer,2,INS,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012455/
90,MoCap,2,NAM,NA,Y,Y,No,Y,,,,_ALL,,https://arxiv.org/pdf/2101.08166v1.pdf
91,iToL,5,PUB,SN,Y,Y,No,Y,,,,_ALL,,https://doi.org/10.1101/2020.08.10.242677
92,Meet,7,NAM,SN,N,Y,No,N,,,,_ALL,"Should be ""Google Meet""?",https://arxiv.org/pdf/2101.07388v1.pdf
93,InnovationACT,3,NOT,SN,N,N,No,Y,,,,_ALL,Should have been InnovationACT's online platform,https://www.sciencedirect.com/science/article/pii/S0019850119300288;https://api.elsevier.com/content/article/pii/S0019850119300288
94,Circos,1,NAM,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7110011/
95,Pathao,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.sciencedirect.com/science/article/pii/S0965856420305784;https://api.elsevier.com/content/article/pii/S0965856420305784;https://www.ncbi.nlm.nih.gov/pubmed/32508400/;https://doi.org/10.1016/j.tra.2020.05.002
96,MassARRAY,2,NAM,NA,Y,N,No,Y,,,,_ALL,Could be INS?,https://www.ncbi.nlm.nih.gov/pubmed/33105541/;https://doi.org/10.3390/cells9112337
97,GCNConv,2,PUB,SN,Y,Y,No,Y,,,,_ALL,"Talks about the use of GCNConv, not just as a method",https://arxiv.org/pdf/2006.09835v1.pdf
98,RDP3 Beta,1,NAM,SN,N,N,No,Y,,,,_ALL,"Should be ""RDP3 Beta 24""",https://doi.org/10.1186/1743-422x-5-123;https://www.ncbi.nlm.nih.gov/pubmed/18937850/
99,R0,18,NAM,SN,Y,N,No,N,,,,_ALL,Should this be PUB? There is a publication it's just not referenced in the right place.,https://www.sciencedirect.com/science/article/pii/S2213398420301743?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32838063/;https://api.elsevier.com/content/article/pii/S2213398420301743;https://doi.org/10.1016/j.cegh.2020.07.004
100,YFPEITHI,1,PUB,SN,Y,N,No,N,,,,_ALL,"Actually a reference to a paper comparing three tools, should it be NAM?",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7036183/
101,ISUOG,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://doi.org/10.3390/jcm9051521;https://www.ncbi.nlm.nih.gov/pubmed/32443538/
102,SISE,1,PUB,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/33286541/;https://doi.org/10.3390/e22070769
103,LabOn Time,1,INS,NA,Y,N,No,Y,,,,_ALL,,https://api.elsevier.com/content/article/pii/S1386653220301554;https://www.ncbi.nlm.nih.gov/pubmed/32403010/;https://www.sciencedirect.com/science/article/pii/S1386653220301554?v=s5;https://doi.org/10.1016/j.jcv.2020.104413
104,MircoED,1,NAM,NA,N,N,No,Y,,,,_ALL,Should be MicroED?,https://api.elsevier.com/content/article/pii/S0959440X20300890;https://www.ncbi.nlm.nih.gov/pubmed/32610218/;https://www.sciencedirect.com/science/article/pii/S0959440X20300890;https://doi.org/10.1016/j.sbi.2020.05.018
105,EUROLab Workstation,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.sciencedirect.com/science/article/pii/S0009898120304344?v=s5;https://doi.org/10.1016/j.cca.2020.09.002;https://www.ncbi.nlm.nih.gov/pubmed/32910980/;https://api.elsevier.com/content/article/pii/S0009898120304344
106,MWorks,1,URL,SC,Y,Y,No,Y,c++,https://github.com/mworks/mworks,,_ALL,,https://doi.org/10.1101/2020.08.11.246355
107,Invisalign,1,INS,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698787/
108,HAVING,1,NAM,SF,Y,N,No,N,,,,_ALL,HAVING is a function of SPARQL,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250599/
109,GGPlot2,3,PUB,SN,Y,Y,No,Y,,,,_ALL,,https://doi.org/10.1101/2020.07.06.182972;https://www.ncbi.nlm.nih.gov/pubmed/32676594/
110,CORTICUS,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7143852/
111,RealStats Resource Pack,1,URL,SN,Y,N,No,Y,excel,https://www.real-statistics.com/free-download/real-statistics-resource-pack/,,_ALL,,https://doi.org/10.1093/biolre/ioaa082;https://www.ncbi.nlm.nih.gov/pubmed/32588889/
112,NetworKit,2,"PUB, URL",SC,Y,N,No,Y,c++/python,https://github.com/networkit/networkit,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7735677/
113,MCCE (Multi Conformer Continuum Electrostatic),1,PUB,SN,Y,N,No,Y,,http://www.sci.ccny.cuny.edu/~mcce,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/32478523/;https://doi.org/10.1021/acs.jpclett.0c01064
114,MESH,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://api.elsevier.com/content/article/pii/S0163445317304139;https://www.ncbi.nlm.nih.gov/pubmed/29305150/;https://www.sciencedirect.com/science/article/pii/S0163445317304139;https://doi.org/10.1016/j.jinf.2017.12.014
115,AKITA,2,PUB,NA,N,N,No,Y,,,,_ALL,AKITA2 APIXNEB System,https://www.ncbi.nlm.nih.gov/pubmed/32397615/;https://doi.org/10.3390/jpm10020037
116,Sehha App,1,NAM,SN,Y,N,No,Y,,,,_ALL,,https://doi.org/10.7759/cureus.12004;https://www.ncbi.nlm.nih.gov/pubmed/33457115/
117,CCV,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4313891/
118,MyOSA,2,INS,SN,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1016/j.arbres.2020.06.019;https://www.ncbi.nlm.nih.gov/pubmed/32773300/
119,ICPis,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://doi.org/10.1136/jitc-2020-001754;https://www.ncbi.nlm.nih.gov/pubmed/33310772/
120,KAWA,3,NAM,NA,N,N,No,Y,,,,_ALL,KAWA-RACE,https://www.sciencedirect.com/science/article/pii/S1695403318303084;https://api.elsevier.com/content/article/pii/S1695403318303084
121,Probiosafe,1,NAM,NA,N,N,No,Y,,,,_ALL,SAFEFOODERA — Probiosafe,https://www.sciencedirect.com/science/article/pii/S0168160510001698;https://www.ncbi.nlm.nih.gov/pubmed/20444515/;https://doi.org/10.1016/j.ijfoodmicro.2010.03.026;https://api.elsevier.com/content/article/pii/S0168160510001698
122,Viral genome Evolution Network Analysis System (VENAS),1,NAM,SC,Y,Y,Yes,Y,mathematica,https://github.com/qianjiaqiang/VENAS,,_ALL,,https://doi.org/10.1101/2020.12.09.417121
123,Moodfit,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/33301395/;https://doi.org/10.1016/j.jopan.2020.10.005;https://www.sciencedirect.com/science/article/pii/S108994722030321X;https://api.elsevier.com/content/article/pii/S108994722030321X
124,COMVC19,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://doi.org/10.6061/clinics/2020/e1963;https://www.ncbi.nlm.nih.gov/pubmed/32520224/
125,Yasara,1,URL,SN,Y,Y,No,Y,,http://www.yasara.org/,,_ALL,Yasara version 20,https://doi.org/10.1101/2020.07.01.182964;https://www.ncbi.nlm.nih.gov/pubmed/32637961/
126,GtrendsR,1,PUB,SN,Y,Y,No,Y,,,,_ALL,,https://arxiv.org/pdf/2005.06796v1.pdf
127,R package APE,1,PUB,SN,N,N,No,Y,,,,_ALL,APE,https://doi.org/10.1099/vir.0.000209;https://www.ncbi.nlm.nih.gov/pubmed/26041874/
128,AiCure,1,PUB,SN,Y,N,No,N,,,,_ALL,"The associated publication makes it clear the software platform is called AICure, but in the paper it's suggested this is the name of the authors",https://www.sciencedirect.com/science/article/pii/S1359644620304256?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/33099022/;https://api.elsevier.com/content/article/pii/S1359644620304256;https://doi.org/10.1016/j.drudis.2020.10.010
129,RemyCC,1,PUB,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302268/
130,MolDx,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7267794/
131,ClonFor,1,NAM,NA,N,N,No,Y,,,,_ALL,Parecho_5′NTR_ClonFor,https://www.ncbi.nlm.nih.gov/pubmed/25681753/;https://doi.org/10.1016/j.mcp.2015.02.001;https://api.elsevier.com/content/article/pii/S089085081500016X;https://www.sciencedirect.com/science/article/pii/S089085081500016X
132,pLingeling,19,URL,SN,Y,N,No,Y,,https://github.com/arminbiere/lingeling,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197060/
133,CAQE,6,PUB,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7363222/
134,Motel One,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7736673/
135,Sketch Engine COVID -Sinequa COVID - 19 Intelligent Search Search Search,1,NAM,SN,N,Y,No,Y,,,,_ALL,Sketch Engine COVID-19 (a search engine),https://arxiv.org/pdf/2007.12731v1.pdf
136,COVIDnet,6,PUB,SN,N,N,No,Y,,,,_ALL,COVIDNet-CXR,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7486976/
137,scDeepCluster,1,PUB,SN,Y,N,No,Y,,,,_ALL,,https://api.elsevier.com/content/article/pii/S1359644620304153;https://www.ncbi.nlm.nih.gov/pubmed/33059075/;https://www.sciencedirect.com/science/article/pii/S1359644620304153;https://doi.org/10.1016/j.drudis.2020.10.002
138,Cedars100,1,PRO,NA,Y,Y,No,Y,,,,_ALL,,http://medrxiv.org/cgi/content/short/2020.04.19.20070995v1?rss=1;https://www.ncbi.nlm.nih.gov/pubmed/32511625/;https://doi.org/10.1101/2020.04.19.20070995
139,Cipro,1,NAM,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120073/
140,SLIC,1,PUB,NA,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pubmed/32837245/;https://doi.org/10.1007/s11063-020-10330-8
141,TACTIC,14,NAM,NA,N,N,No,Y,,,,_ALL,TACTIC-R,https://doi.org/10.1186/s13063-020-04535-4;https://www.ncbi.nlm.nih.gov/pubmed/32641154/
142,KINETIC,1,PUB,SN,Y,N,No,Y,,,,_ALL,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2290050/
