Rank,Title,Mentions,CodeRepository,Annotator,QACode,Notes
67,VisBubbles,1,,Mark,NA,https://www.deviantart.com/undefinist/art/VisBubble-Round-Visualizer-for-Rainmeter-488601501
68,Cytargetlinker,1,,Neil,SF,Duplicate: Part of Cytoscape package
69,io API,1,,Stephan,ST,"Actually: genderizer.io API, removed from CRAN"
70,ChEMU,1,,Sammie,NA,Not software: a lab
71,CAM06,1,,Mark,NA,Not software: https://www.amazon.co.uk/Akhan-CAM06-9-reversing-parking-license/dp/B01ELRUJDA
72,AAD,1,,Neil,NA,Not software - an approach that was implemented in Eigen https://gitlab.com/libeigen/eigen.git
73,Inspect,1,,Stephan,ST,"Actually: Net-Inspect (https://www.net-inspect.com/), commecrcial"
74,comPARE,1,,Sammie,SC,"Web resource, link broken"
75,eArrayXD,1,,Mark,SC,Possible: https://earray.chem.agilent.com/earray/helppages/index.htm#search_for_earrayxd_microarray_designs.htm
76,GoArray,1,,Neil,ST,Actually: GoArrays https://g2im.u-clermont1.fr/serimour/goarrays/index.html
77,fixbb,1,,Stephan,UN,Links to papers without any software mentions?!?
78,AfCFTA,1,,Sammie,NA,Not software: The African Continental Free Trade Agreement
79,DataMart,1,,Mark,NA,Not software
80,ComBat (SVA,1,,Neil,SF,Part of the SVA R package; https://git.bioconductor.org/packages/sva
81,NOEnet,1,,Stephan,UN,Links to 404
82,openQA,1,https://github.com/os-autoinst/openQA/blob/master/docs/Installing.asciidoc,Sammie,SO,
83,GeneRuner,1,,Mark,SC,http://www.generunner.net/
84,PNEU,1,,Neil,NT,Not software - PCR test and misidentified should be FA-PNEU
85,Anvirzel,1,,Stephan,NA,"Not software, actually a cardiac glycoside"
86,PDBQT,1,,Sammie,NA,Not software: file format
87,ParaoFuturoAgora,1,,Mark,NA,Not a software
88,MANCHE,1,,Stephan,NA,"Not a software, the German word for ""some"", capitalized in an interview transcript for emphasis"
89,EuroWordNet,1,,Alex,SC,https://archive.illc.uva.nl//EuroWordNet/
90,Eustite,1,,Alex,NA,Not a software (EU-funded 3-year program)
91,SYN,1,,Alex,ST,"Should by SYN++, companion code to SYNAPPS. But the paper https://doi.org/10.1093/mnras/staa4047 is on astrophysics"
92,PAXLST,1,,Alex,NA,"Not a software (format for passenger lists, see https://service.unece.org/trade/untdid/d02b/trmd/paxlst_c.htm)"
93,HUPO Investigation,1,,Alex,NA,Not a software. Also HUPO. Abbreviation for Human Proteome Organisation
94,Adequest,1,,Alex,SC,"Software by Baxter, Inc. - see https://renalcare.baxter.com/products/sharesource"
95,Gibson,1,https://github.com/StanfordVL/GibsonEnv,Alex,SO,See also http://gibsonenv.stanford.edu/
96,NRSur PHM,1,,Alex,SC,Astrophysics code. The name stands for the models called are called NRSur7dq4 and NRSur7dq4Remnant. Both models are made publicly available through the gwsurrogate and surfinBH python packages
97,PVSio,1,https://github.com/pvsioweb/pvsio-web,Stephan,ST,Actually: PVSio-Web; 
98,Oxford,1,,Sammie,NA,Not software: University
99,Proteus Discover,1,,Mark,NA,Seems to be a company: https://www.lottiecrumbleholme.com/proteus-discover though they may produce a software by this name?
100,discmo,1,,Neil,ST,Mispelling of R package disco: https://github.com/cran/disco
