,software,count,rand_urls,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments
14,HySys,1,https://api.elsevier.com/content/article/pii/S0038092X20308793;https://www.sciencedirect.com/science/article/pii/S0038092X20308793;https://doi.org/10.1016/j.solener.2020.08.041;https://www.ncbi.nlm.nih.gov/pubmed/32863443/,,,,,,,,,,_ALL,
15,OpenWhisk Python runtime,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7510803/,,,,,,,,,,_ALL,
16,Folder Automation,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5536730/,,,,,,,,,,_ALL,
17,Epidemic Calculator,8,http://medrxiv.org/cgi/content/short/2020.05.31.20118182v1?rss=1;https://doi.org/10.1101/2020.05.31.20118182,,,,,,,,,,_ALL,
18,iGLAS,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7608435/,,,,,,,,,,_ALL,
19,Instant Recess,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7552680/,,,,,,,,,,_ALL,
20,GIT,6,https://doi.org/10.1093/nar/gkaa1125;https://www.ncbi.nlm.nih.gov/pubmed/33270886/,,,,,,,,,,_ALL,
21,AutoVue Innova,10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7169255/,,,,,,,,,,_ALL,
22,Arogya Setu App,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7381859/,,,,,,,,,,_ALL,
23,DNAStar package,1,https://doi.org/10.1371/journal.pntd.0003569;https://www.ncbi.nlm.nih.gov/pubmed/25811659/,,,,,,,,,,_ALL,
24,SBE,1,https://doi.org/10.1136/medethics-2020-106793;https://www.ncbi.nlm.nih.gov/pubmed/32900846/,,,,,,,,,,_ALL,
25,AskNowQA,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250603/,,,,,,,,,,_ALL,
26,MIMIC,8,https://arxiv.org/pdf/2010.15728v2.pdf,,,,,,,,,,_ALL,
27,BFHI,1,https://www.ncbi.nlm.nih.gov/pubmed/32926659/;https://doi.org/10.1177/0890334420959292,,,,,,,,,,_ALL,
28,MedAdvisor PlusOne,5,http://medrxiv.org/cgi/content/short/2020.12.14.20248212v1?rss=1,,,,,,,,,,_ALL,
29,Horus,4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7304729/,,,,,,,,,,_ALL,
30,OF,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7795809/,,,,,,,,,,_ALL,
31,NoDupsNonFunc,2,https://www.ncbi.nlm.nih.gov/pubmed/33006981/;https://doi.org/10.1371/journal.pone.0237689,,,,,,,,,,_ALL,
32,GNU,17,https://doi.org/10.1155/2011/238743;https://www.ncbi.nlm.nih.gov/pubmed/21151699/,,,,,,,,,,_ALL,
33,SoapAligner,1,https://www.ncbi.nlm.nih.gov/pubmed/30359242/;https://doi.org/10.1186/s12864-018-5152-5,,,,,,,,,,_ALL,
34,Google search volume,1,https://arxiv.org/pdf/2007.06566v1.pdf,,,,,,,,,,_ALL,
35,PASMICOR,2,https://doi.org/10.1016/j.psychres.2020.113252;https://api.elsevier.com/content/article/pii/S0165178120316000;https://www.ncbi.nlm.nih.gov/pubmed/32623263/;https://www.sciencedirect.com/science/article/pii/S0165178120316000,,,,,,,,,,_ALL,
36,LiveHoods,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7399565/,,,,,,,,,,_ALL,
37,Tele,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787127/,,,,,,,,,,_ALL,
38,Ribosomal Multilocus Sequence Typing (rMLST),1,https://doi.org/10.1101/2020.12.01.406348,,,,,,,,,,_ALL,
39,Verigene √í,2,https://api.elsevier.com/content/article/pii/B9780128029718000055;https://www.sciencedirect.com/science/article/pii/B9780128029718000055,,,,,,,,,,_ALL,
40,AIROYoung,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815285/,,,,,,,,,,_ALL,
41,IncuCyte imager,1,https://www.ncbi.nlm.nih.gov/pubmed/33140051/;https://doi.org/10.1101/2020.10.29.361048,,,,,,,,,,_ALL,
42,Well,11,https://www.ncbi.nlm.nih.gov/pubmed/32413319/;https://api.elsevier.com/content/article/pii/S0092867420305006;https://www.sciencedirect.com/science/article/pii/S0092867420305006;https://doi.org/10.1016/j.cell.2020.04.035,,,,,,,,,,_ALL,
43,json,1,https://www.ncbi.nlm.nih.gov/pubmed/32839733/;https://doi.org/10.1016/j.dib.2020.106175;https://www.sciencedirect.com/science/article/pii/S2352340920310696?v=s5;https://api.elsevier.com/content/article/pii/S2352340920310696,,,,,,,,,,_ALL,
44,RuSentRel,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7298196/,,,,,,,,,,_ALL,
45,pooledHyp,1,https://www.ncbi.nlm.nih.gov/pubmed/32581260/;https://doi.org/10.1038/s41598-020-66280-7,,,,,,,,,,_ALL,
46,iCircDA,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7354774/,,,,,,,,,,_ALL,
47,PWMEnrich,1,https://doi.org/10.1016/j.ygeno.2020.12.041;https://www.ncbi.nlm.nih.gov/pubmed/33482326/;https://www.sciencedirect.com/science/article/pii/S0888754321000252?v=s5;https://api.elsevier.com/content/article/pii/S0888754321000252,,,,,,,,,,_ALL,
48,spRTEM,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103177/,,,,,,,,,,_ALL,
49,ASCOD,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7543675/,,,,,,,,,,_ALL,
50,#NAME?,2,https://doi.org/10.1038/s41467-020-19883-7;https://www.ncbi.nlm.nih.gov/pubmed/33247099/,,,,,,,,,,_ALL,
51,PsychThApprO,11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7360497/,,,,,,,,,,_ALL,
52,CoPIC,1,https://doi.org/10.1101/2020.12.26.424422,,,,,,,,,,_ALL,
53,Cellprofiler,4,https://doi.org/10.1016/j.celrep.2020.108166;https://www.ncbi.nlm.nih.gov/pubmed/32966794/;https://www.sciencedirect.com/science/article/pii/S2211124720311554;https://api.elsevier.com/content/article/pii/S2211124720311554,,,,,,,,,,_ALL,
54,GaussianFinder,1,https://www.ncbi.nlm.nih.gov/pubmed/32708196/;https://doi.org/10.3390/ijms21145152,,,,,,,,,,_ALL,
55,#NAME?,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7397426/,,,,,,,,,,_ALL,
56,Meke Meter,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7443393/,,,,,,,,,,_ALL,
57,Treeio,1,https://doi.org/10.1111/2041-210x.13422;https://www.ncbi.nlm.nih.gov/pubmed/32983401/,,,,,,,,,,_ALL,
58,Typeform,1,https://doi.org/10.1016/j.dib.2020.106287;https://www.ncbi.nlm.nih.gov/pubmed/32923550/;https://api.elsevier.com/content/article/pii/S2352340920311811;https://www.sciencedirect.com/science/article/pii/S2352340920311811?v=s5,,,,,,,,,,_ALL,
59,DelPhiPKa,2,https://www.ncbi.nlm.nih.gov/pubmed/32962355/;https://doi.org/10.1063/5.0020458,,,,,,,,,,_ALL,
60,Marktest,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293961/,,,,,,,,,,_ALL,
61,Energy Quest,1,https://api.elsevier.com/content/article/pii/S0306261920312290;https://www.ncbi.nlm.nih.gov/pubmed/32904736/;https://doi.org/10.1016/j.apenergy.2020.115739;https://www.sciencedirect.com/science/article/pii/S0306261920312290?v=s5,,,,,,,,,,_ALL,
62,BAND,1,https://doi.org/10.1101/2020.10.08.330696,,,,,,,,,,_ALL,
63,Google Chart API,2,https://www.ncbi.nlm.nih.gov/pubmed/24359669/;https://doi.org/10.1186/2049-9957-2-31,,,,,,,,,,_ALL,
64,PHASER (,1,https://www.ncbi.nlm.nih.gov/pubmed/33431856/;https://doi.org/10.1038/s41467-020-20501-9,,,,,,,,,,_ALL,
65,TeKGraph,1,https://arxiv.org/pdf/2010.11367v2.pdf,,,,,,,,,,_ALL,
66,RT 2 Profiles Array Data Analysis,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164006/,,,,,,,,,,_ALL,
67,Fast Microsatellite Discoverer (FMSD),1,https://doi.org/10.1016/j.imu.2020.100356;https://api.elsevier.com/content/article/pii/S2352914820302562;https://www.ncbi.nlm.nih.gov/pubmed/32501423/;https://www.sciencedirect.com/science/article/pii/S2352914820302562?v=s5,,,,,,,,,,_ALL,
68,PyFS,5,https://www.ncbi.nlm.nih.gov/pubmed/33500740/;https://doi.org/10.1007/s12652-020-02600-z,,,,,,,,,,_ALL,
69,Jext,3,https://www.ncbi.nlm.nih.gov/pubmed/33311677/;https://doi.org/10.1038/s41415-020-2454-1,,,,,,,,,,_ALL,
70,rvtest,2,https://www.ncbi.nlm.nih.gov/pubmed/33298875/;https://doi.org/10.1038/s41421-020-00231-4,,,,,,,,,,_ALL,
71,SIMUL8,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7169842/,,,,,,,,,,_ALL,
72,SRLF,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7117819/,,,,,,,,,,_ALL,
73,VGAS (Viral Genome Annotation System),1,https://doi.org/10.1186/s12862-020-01732-2;https://www.ncbi.nlm.nih.gov/pubmed/33514319/,,,,,,,,,,_ALL,
74,featureCounts Galaxy,1,https://www.ncbi.nlm.nih.gov/pubmed/32374427/;https://doi.org/10.1002/jmv.25981,,,,,,,,,,_ALL,
75,Protein Digestion Server,1,https://www.ncbi.nlm.nih.gov/pubmed/31075428/;https://www.sciencedirect.com/science/article/pii/S0882401018306053;https://api.elsevier.com/content/article/pii/S0882401018306053;https://doi.org/10.1016/j.micpath.2019.05.010,,,,,,,,,,_ALL,
76,FIFI,1,https://arxiv.org/pdf/2101.01812v1.pdf,,,,,,,,,,_ALL,
77,geoserver,1,https://www.ncbi.nlm.nih.gov/pubmed/14748927/,,,,,,,,,,_ALL,
78,Matlab Psychophysics Toolbox,1,https://www.ncbi.nlm.nih.gov/pubmed/33389675/;https://doi.org/10.3758/s13414-020-02187-9,,,,,,,,,,_ALL,
79,Netica,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088195/,,,,,,,,,,_ALL,
80,Images Sorter,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7251932/,,,,,,,,,,_ALL,
81,Hadoop File System,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7256368/,,,,,,,,,,_ALL,
82,PregSure,1,https://www.ncbi.nlm.nih.gov/pubmed/22386740/;https://api.elsevier.com/content/article/pii/S0167587712000682;https://doi.org/10.1016/j.prevetmed.2012.02.008;https://www.sciencedirect.com/science/article/pii/S0167587712000682,,,,,,,,,,_ALL,
83,1000 Functional Connectomes Project scripts,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7080092/,,,,,,,,,,_ALL,
84,Docker Compose 4,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7254549/,,,,,,,,,,_ALL,
85,Serco,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7762901/,,,,,,,,,,_ALL,
86,Crisis,2,https://arxiv.org/pdf/2101.05656v1.pdf,,,,,,,,,,_ALL,
87,LOVIT,1,https://www.ncbi.nlm.nih.gov/pubmed/33121019/;https://doi.org/10.3390/nu12113286,,,,,,,,,,_ALL,
88,LifeSize,1,https://doi.org/10.1007/s13187-020-01945-5;https://www.ncbi.nlm.nih.gov/pubmed/33442862/,,,,,,,,,,_ALL,
89,CTL Biospot analyzer,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012455/,,,,,,,,,,_ALL,
90,MoCap,2,https://arxiv.org/pdf/2101.08166v1.pdf,,,,,,,,,,_ALL,
91,iToL,5,https://doi.org/10.1101/2020.08.10.242677,,,,,,,,,,_ALL,
92,Meet,7,https://arxiv.org/pdf/2101.07388v1.pdf,,,,,,,,,,_ALL,
93,InnovationACT,3,https://www.sciencedirect.com/science/article/pii/S0019850119300288;https://api.elsevier.com/content/article/pii/S0019850119300288,,,,,,,,,,_ALL,
94,Circos,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7110011/,,,,,,,,,,_ALL,
95,Pathao,1,https://www.sciencedirect.com/science/article/pii/S0965856420305784;https://api.elsevier.com/content/article/pii/S0965856420305784;https://www.ncbi.nlm.nih.gov/pubmed/32508400/;https://doi.org/10.1016/j.tra.2020.05.002,,,,,,,,,,_ALL,
96,MassARRAY,2,https://www.ncbi.nlm.nih.gov/pubmed/33105541/;https://doi.org/10.3390/cells9112337,,,,,,,,,,_ALL,
97,GCNConv,2,https://arxiv.org/pdf/2006.09835v1.pdf,,,,,,,,,,_ALL,
98,RDP3 Beta,1,https://doi.org/10.1186/1743-422x-5-123;https://www.ncbi.nlm.nih.gov/pubmed/18937850/,,,,,,,,,,_ALL,
99,R0,18,https://www.sciencedirect.com/science/article/pii/S2213398420301743?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32838063/;https://api.elsevier.com/content/article/pii/S2213398420301743;https://doi.org/10.1016/j.cegh.2020.07.004,,,,,,,,,,_ALL,
100,YFPEITHI,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7036183/,NAM,SN,YES,NO,NO,YES,,,,_ALL,There is a citation but it's not to a software paper
101,ISUOG,1,https://doi.org/10.3390/jcm9051521;https://www.ncbi.nlm.nih.gov/pubmed/32443538/,PUB,NA,YES,,,YES,,,,_ALL,
102,SISE,1,https://www.ncbi.nlm.nih.gov/pubmed/33286541/;https://doi.org/10.3390/e22070769,PUB,NA,YES,,,YES,,,,_ALL,
103,LabOn Time,1,https://api.elsevier.com/content/article/pii/S1386653220301554;https://www.ncbi.nlm.nih.gov/pubmed/32403010/;https://www.sciencedirect.com/science/article/pii/S1386653220301554?v=s5;https://doi.org/10.1016/j.jcv.2020.104413,NAM,NA,YES,,,YES,,,,_ALL,
104,MircoED,1,https://api.elsevier.com/content/article/pii/S0959440X20300890;https://www.ncbi.nlm.nih.gov/pubmed/32610218/;https://www.sciencedirect.com/science/article/pii/S0959440X20300890;https://doi.org/10.1016/j.sbi.2020.05.018,PUB,NA,YES,,,YES,,,,_ALL,Typo for MicroED
105,EUROLab Workstation,1,https://www.sciencedirect.com/science/article/pii/S0009898120304344?v=s5;https://doi.org/10.1016/j.cca.2020.09.002;https://www.ncbi.nlm.nih.gov/pubmed/32910980/;https://api.elsevier.com/content/article/pii/S0009898120304344,NAM,NA,YES,,,YES,,,,_ALL,
106,MWorks,1,https://doi.org/10.1101/2020.08.11.246355,URL,SP,YES,YES,NO,YES,C/C++,https://github.com/mworks/mworks,,_ALL,"Links to project website hosted on github, which contains link to source code. Is a suite of applications. All necessary metadata except license"
107,Invisalign,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698787/,INS,NA,YES,,,YES,,,,_ALL,
108,HAVING,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250599/,NAM,SN,YES,NO,NO,NO,,,,_ALL,A function within software
109,GGPlot2,3,https://doi.org/10.1101/2020.07.06.182972;https://www.ncbi.nlm.nih.gov/pubmed/32676594/,PRO,SN,YES,YES,NO,YES,,,,_ALL,ggplot2 also included but not with capitalization so only followed best mention that included capitalization
110,CORTICUS,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7143852/,NAM,UN,NO,,,NO,,,,_ALL,CORTICUS-Studiegeprüft. Marked as UN but unsure as it's in German- maybe this should be excluded from the sample as it's a langauge issue rather than annotation issue
111,RealStats Resource Pack,1,https://doi.org/10.1093/biolre/ioaa082;https://www.ncbi.nlm.nih.gov/pubmed/32588889/,URL,SN,YES,NO,NO,YES,Unclear,http://www.real-statistics.com/free-download/,,_ALL,Excel plug in
112,NetworKit,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7735677/,URL,SC,YES,NO,NO,YES,Python/ C++,https://networkit.github.io/,,_ALL,
113,MCCE (Multi Conformer Continuum Electrostatic),1,https://www.ncbi.nlm.nih.gov/pubmed/32478523/;https://doi.org/10.1021/acs.jpclett.0c01064,PUB,SN,YES,NO,NO,YES,,,,_ALL,Cites to paper has URL for download
114,MESH,1,https://api.elsevier.com/content/article/pii/S0163445317304139;https://www.ncbi.nlm.nih.gov/pubmed/29305150/;https://www.sciencedirect.com/science/article/pii/S0163445317304139;https://doi.org/10.1016/j.jinf.2017.12.014,NAM,NA,YES,,,YES,,,,_ALL,
115,AKITA,2,https://www.ncbi.nlm.nih.gov/pubmed/32397615/;https://doi.org/10.3390/jpm10020037,PUB,NA,YES,,,YES,,,,_ALL,
116,Sehha App,1,https://doi.org/10.7759/cureus.12004;https://www.ncbi.nlm.nih.gov/pubmed/33457115/,NAM,SN,YES,NO,NO,YES,,,,_ALL,
117,CCV,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4313891/,URL,SN,YES,NO,NO,YES,,,,_ALL,May also have been an incorrect retrieval to CCV-MST
118,MyOSA,2,https://doi.org/10.1016/j.arbres.2020.06.019;https://www.ncbi.nlm.nih.gov/pubmed/32773300/,INS,SN,YES,NO,NO,YES,,,,_ALL,
119,ICPis,1,https://doi.org/10.1136/jitc-2020-001754;https://www.ncbi.nlm.nih.gov/pubmed/33310772/,NAM,NA,YES,,,YES,,,,_ALL,
120,KAWA,3,https://www.sciencedirect.com/science/article/pii/S1695403318303084;https://api.elsevier.com/content/article/pii/S1695403318303084,NAM,NA,NO,,,YES,,,,_ALL,Kawasaki (disease) or more likely KAWA-RACE (working group)
121,Probiosafe,1,https://www.sciencedirect.com/science/article/pii/S0168160510001698;https://www.ncbi.nlm.nih.gov/pubmed/20444515/;https://doi.org/10.1016/j.ijfoodmicro.2010.03.026;https://api.elsevier.com/content/article/pii/S0168160510001698,NAM,NA,NO,,,YES,,,,_ALL,Probably SAFEFOODERA —Probiosafe but with line break
122,Viral genome Evolution Network Analysis System (VENAS),1,https://doi.org/10.1101/2020.12.09.417121,URL,SC,YES,YES,YES,NO,Mathematica,https://github.com/qianjiaqiang/VENAS,,_ALL,This is a paper describing the software so there is a URL link at the end of the paper but not near the name picked up on here
123,Moodfit,1,https://www.ncbi.nlm.nih.gov/pubmed/33301395/;https://doi.org/10.1016/j.jopan.2020.10.005;https://www.sciencedirect.com/science/article/pii/S108994722030321X;https://api.elsevier.com/content/article/pii/S108994722030321X,NAM,NA,YES,NO,NO,YES,,,,_ALL,
124,COMVC19,1,https://doi.org/10.6061/clinics/2020/e1963;https://www.ncbi.nlm.nih.gov/pubmed/32520224/,NAM,NA,YES,,,YES,,,,_ALL,
125,Yasara,1,https://doi.org/10.1101/2020.07.01.182964;https://www.ncbi.nlm.nih.gov/pubmed/32637961/,URL,SN,YES,YES,NO,YES,,,,_ALL,
126,GtrendsR,1,https://arxiv.org/pdf/2005.06796v1.pdf,PRO,SN,YES,YES,NO,YES,,,,_ALL,
127,R package APE,1,https://doi.org/10.1099/vir.0.000209;https://www.ncbi.nlm.nih.gov/pubmed/26041874/,PUB,SN,YES,NO,NO,YES,,,,_ALL,
128,AiCure,1,https://www.sciencedirect.com/science/article/pii/S1359644620304256?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/33099022/;https://api.elsevier.com/content/article/pii/S1359644620304256;https://doi.org/10.1016/j.drudis.2020.10.010,PUB,NA,YES,,,YES,,,,_ALL,
129,RemyCC,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302268/,NAM,NA,YES,,,YES,,,,_ALL,Class of algorithms rather than software
130,MolDx,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7267794/,URL,NA,YES,NO,NO,YES,,,,_ALL,
131,ClonFor,1,https://www.ncbi.nlm.nih.gov/pubmed/25681753/;https://doi.org/10.1016/j.mcp.2015.02.001;https://api.elsevier.com/content/article/pii/S089085081500016X;https://www.sciencedirect.com/science/article/pii/S089085081500016X,NAM,NA,YES,,,YES,,,,_ALL,
132,pLingeling,19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197060/,PRO,SC,YES,NO,NO,YES,Unknown ,https://github.com/arminbiere/lingeling,,_ALL,Link is to software page which links to Github repo so could be SP? All metadata is on the first link
133,CAQE,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7363222/,PUB,SN,YES,NO,NO,YES,,,,_ALL,
134,Motel One,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7736673/,NAM,NA,YES,,,YES,,,,_ALL,
135,Sketch Engine COVID -Sinequa COVID - 19 Intelligent Search Search Search,1,https://arxiv.org/pdf/2007.12731v1.pdf,NAM,SN,NO,YES,NO,YES,,,,_ALL,Sketch Engine COVID-19
136,COVIDnet,6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7486976/,PUB,SN,NO,NO,NO,NO,,,,_ALL,Could be this picked up on the one mention of just 'COVIDnet' but there were 'COVIDnet-xxx' mentions too that did have pub
137,scDeepCluster,1,https://api.elsevier.com/content/article/pii/S1359644620304153;https://www.ncbi.nlm.nih.gov/pubmed/33059075/;https://www.sciencedirect.com/science/article/pii/S1359644620304153;https://doi.org/10.1016/j.drudis.2020.10.002,PUB,SN,YES,NO,NO,YES,,,,_ALL,Not 100% clear this is software?
138,Cedars100,1,http://medrxiv.org/cgi/content/short/2020.04.19.20070995v1?rss=1;https://www.ncbi.nlm.nih.gov/pubmed/32511625/;https://doi.org/10.1101/2020.04.19.20070995,PRO,NA,YES,,,NO,,,,_ALL,Fake reference to say it's an unpublished dataset
139,Cipro,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120073/,NAM,NA,YES,,,YES,,,,_ALL,
140,SLIC,1,https://www.ncbi.nlm.nih.gov/pubmed/32837245/;https://doi.org/10.1007/s11063-020-10330-8,PUB,NA,YES,NO,NO,YES,,,,_ALL,
141,TACTIC,14,https://doi.org/10.1186/s13063-020-04535-4;https://www.ncbi.nlm.nih.gov/pubmed/32641154/,NAM,NA,NO,,,YES,,,,_ALL,
142,KINETIC,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2290050/,PUB,SN,YES,NO,NO,YES,,,,_ALL,
143,Sina Microblog,22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7666167/,NAM,SN,YES,NO,NO,YES,,,,_ALL,
144,COordinar,1,https://api.elsevier.com/content/article/pii/S0213485320300736;https://www.sciencedirect.com/science/article/pii/S0213485320300736?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32364127/;https://doi.org/10.1016/j.nrl.2020.04.008,NAM,NA,YES,,,YES,,,,_ALL,
145,ArcToolbox,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5127488/,PUB,SN,YES,NO,NO,YES,,,,_ALL,
146,GRAMMAS,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167033/,NAM,SN,YES,NO,NO,YES,,,,_ALL,
147,QNN,2,https://arxiv.org/pdf/2011.07145v1.pdf,NAM,NA,YES,,,YES,,,,_ALL,
148,SLiMDisc,1,https://www.ncbi.nlm.nih.gov/pubmed/31427097/;https://api.elsevier.com/content/article/pii/S0167779919301738;https://www.sciencedirect.com/science/article/pii/S0167779919301738;https://doi.org/10.1016/j.tibtech.2019.07.004,PUB,SN,YES,NO,NO,YES,,,,_ALL,
149,AUTO3DEMSPARX,1,https://api.elsevier.com/content/article/pii/B978012374920800120X;https://www.sciencedirect.com/science/article/pii/B978012374920800120X,PUB,SN,NO,NO,NO,YES,,,,_ALL,AUTO3DEM'
150,ABI StepOne TM,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5912203/,,,,,,,,,,SD,
151,UPSIT,5,https://doi.org/10.14639/0392-100x-n0862;https://www.ncbi.nlm.nih.gov/pubmed/33100334/,,,,,,,,,,SD,
152,COV19,6,https://www.ncbi.nlm.nih.gov/pubmed/33425046/;https://doi.org/10.1007/s12559-020-09795-5,,,,,,,,,,SD,
153,Globalizaje,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7680976/,,,,,,,,,,SD,
154,PPFS (Predict Phenotypes from SNPs),1,https://www.sciencedirect.com/science/article/pii/S0924857917303424;https://api.elsevier.com/content/article/pii/S0924857917303424,,,,,,,,,,SD,
155,SpotBugs,2,https://arxiv.org/pdf/2011.14392v1.pdf,,,,,,,,,,SD,
156,EMETS MCDA,2,https://arxiv.org/pdf/2101.10220v1.pdf,,,,,,,,,,SD,
157,Jaima,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6860145/,,,,,,,,,,SD,
158,Friendfeed,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7332224/,,,,,,,,,,SD,
159,GAFINet,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6087987/,,,,,,,,,,SD,
160,ECIL,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7091862/,,,,,,,,,,SD,
161,FastQC,215,https://doi.org/10.1101/2020.12.21.423850,,,,,,,,,,SD,
162,CoMiFin,4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120818/,,,,,,,,,,SD,
163,Ingenuity Pathways,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4232415/,,,,,,,,,,SD,
164,C6,2,https://www.ncbi.nlm.nih.gov/pubmed/33243994/;https://doi.org/10.1038/s41467-020-19808-4,,,,,,,,,,SD,
165,Feynrules,1,https://arxiv.org/pdf/2009.11870v1.pdf,,,,,,,,,,SD,
166,IMTEK,1,https://www.sciencedirect.com/science/article/pii/S0167931718304556;https://api.elsevier.com/content/article/pii/S0167931718304556;https://www.ncbi.nlm.nih.gov/pubmed/32287568/;https://doi.org/10.1016/j.mee.2018.10.001,,,,,,,,,,SD,
